job_full_c8220_0: pred=1.631306s actual=2.928099s q_error=1.7949
job_full_c8220_1: pred=3.519162s actual=2.302204s q_error=1.5286
job_full_c8220_2: pred=11.077557s actual=20.287203s q_error=1.8314
job_full_c8220_3: pred=1.680253s actual=1.547206s q_error=1.0860
job_full_c8220_4: pred=6.496939s actual=10.563031s q_error=1.6258
job_full_c8220_5: pred=1.479243s actual=0.978475s q_error=1.5118
job_full_c8220_6: pred=2.714760s actual=2.208533s q_error=1.2292
job_full_c8220_7: pred=4.695199s actual=2.501070s q_error=1.8773
job_full_c8220_8: pred=9.137736s actual=3.990029s q_error=2.2901
job_full_c8220_9: pred=15.211439s actual=21.196683s q_error=1.3935
job_full_c8220_10: pred=3.591187s actual=8.075350s q_error=2.2487
job_full_c8220_11: pred=2.568673s actual=26.857184s q_error=10.4557
job_full_c8220_12: pred=2.587262s actual=22.140122s q_error=8.5574
job_full_c8220_13: pred=2.897329s actual=2.534943s q_error=1.1430
job_full_c8220_14: pred=2.667264s actual=2.584857s q_error=1.0319
job_full_c8220_15: pred=6.733298s actual=7.575187s q_error=1.1250
job_full_c8220_16: pred=9.491943s actual=10.688525s q_error=1.1261
job_full_c8220_17: pred=8.659900s actual=10.063763s q_error=1.1621
job_full_c8220_18: pred=7.915937s actual=10.034635s q_error=1.2676
job_full_c8220_19: pred=6.000772s actual=7.319890s q_error=1.2198
job_full_c8220_20: pred=5.593073s actual=6.962943s q_error=1.2449
job_full_c8220_21: pred=5.548239s actual=7.088226s q_error=1.2776
job_full_c8220_22: pred=8.732451s actual=11.161621s q_error=1.2782
job_full_c8220_23: pred=3.845372s actual=14.394615s q_error=3.7434
job_full_c8220_24: pred=6.359898s actual=4.925298s q_error=1.2913
job_full_c8220_25: pred=3.370834s actual=18.671276s q_error=5.5391
job_full_c8220_26: pred=6.730479s actual=5.849403s q_error=1.1506
job_full_c8220_27: pred=22.944402s actual=27.473789s q_error=1.1974
job_full_c8220_28: pred=0.859176s actual=0.457662s q_error=1.8773
job_full_c8220_29: pred=1.850377s actual=0.586060s q_error=3.1573
job_full_c8220_30: pred=0.746888s actual=0.366206s q_error=2.0395
job_full_c8220_31: pred=1.850377s actual=0.586076s q_error=3.1572
job_full_c8220_32: pred=3.878173s actual=6.212200s q_error=1.6018
job_full_c8220_33: pred=4.948885s actual=6.149403s q_error=1.2426
job_full_c8220_34: pred=4.227790s actual=4.653701s q_error=1.1007
job_full_c8220_35: pred=2.997418s actual=5.380522s q_error=1.7951
job_full_c8220_36: pred=7.090837s actual=6.041000s q_error=1.1738
job_full_c8220_37: pred=9.536783s actual=18.410433s q_error=1.9305
job_full_c8220_38: pred=12.373205s actual=6.179959s q_error=2.0022
job_full_c8220_39: pred=2.537767s actual=2.329659s q_error=1.0893
job_full_c8220_40: pred=2.068996s actual=2.249410s q_error=1.0872
job_full_c8220_41: pred=5.097339s actual=4.352833s q_error=1.1710
job_full_c8220_42: pred=7.699966s actual=10.200384s q_error=1.3247
job_full_c8220_43: pred=6.691538s actual=21.095999s q_error=3.1526
job_full_c8220_44: pred=1.041761s actual=0.740530s q_error=1.4068
job_full_c8220_45: pred=1.019067s actual=0.686113s q_error=1.4853
job_full_c8220_46: pred=0.680438s actual=0.630046s q_error=1.0800
job_full_c8220_47: pred=1.685136s actual=1.803751s q_error=1.0704
job_full_c8220_48: pred=5.791620s actual=4.654181s q_error=1.2444
job_full_c8220_49: pred=1.491154s actual=0.387396s q_error=3.8492
job_full_c8220_50: pred=1.152188s actual=0.423591s q_error=2.7200
job_full_c8220_51: pred=3.218278s actual=1.709420s q_error=1.8827
job_full_c8220_52: pred=4.313539s actual=1.425871s q_error=3.0252
job_full_c8220_53: pred=3.110914s actual=1.736582s q_error=1.7914
job_full_c8220_54: pred=0.893772s actual=2.291976s q_error=2.5644
job_full_c8220_55: pred=0.811499s actual=0.967681s q_error=1.1925
job_full_c8220_56: pred=2.993254s actual=3.169967s q_error=1.0590
job_full_c8220_57: pred=2.194236s actual=0.783393s q_error=2.8009
job_full_c8220_58: pred=0.709177s actual=0.465611s q_error=1.5231
job_full_c8220_59: pred=2.686954s actual=0.729034s q_error=3.6856
job_full_c8220_60: pred=0.057648s actual=0.226457s q_error=3.9283
job_full_c8220_61: pred=0.416322s actual=1.621557s q_error=3.8950
job_full_c8220_62: pred=0.921297s actual=3.338705s q_error=3.6239
job_full_c8220_63: pred=5.329045s actual=4.024674s q_error=1.3241
job_full_c8220_64: pred=3.194977s actual=4.697874s q_error=1.4704
job_full_c8220_65: pred=5.329061s actual=4.003509s q_error=1.3311
job_full_c8220_66: pred=4.042063s actual=4.430098s q_error=1.0960
job_full_c8220_67: pred=5.329045s actual=4.111290s q_error=1.2962
job_full_c8220_68: pred=9.690369s actual=8.652514s q_error=1.1199
job_full_c8220_69: pred=9.312496s actual=5.683184s q_error=1.6386
job_full_c8220_70: pred=1.459823s actual=2.103513s q_error=1.4409
job_full_c8220_71: pred=2.206110s actual=2.001956s q_error=1.1020
job_full_c8220_72: pred=23.101323s actual=24.881011s q_error=1.0770
job_full_c8220_73: pred=2.701766s actual=3.466540s q_error=1.2831
job_full_c8220_74: pred=2.642470s actual=19.992886s q_error=7.5660
job_full_c8220_75: pred=2.841648s actual=3.527708s q_error=1.2414
job_full_c8220_76: pred=4.025300s actual=7.215452s q_error=1.7925

Test set (job_full, 77 queries): q-error avg=2.0745 p50=1.4409 p75=2.0395 p90=3.7087 min=1.0319 max=10.4557
