job_full_c8220_0: pred=7.910207s actual=2.928099s q_error=2.7015
job_full_c8220_1: pred=1.785444s actual=2.302204s q_error=1.2894
job_full_c8220_2: pred=11.320143s actual=20.287203s q_error=1.7921
job_full_c8220_3: pred=1.632946s actual=1.547206s q_error=1.0554
job_full_c8220_4: pred=30.908458s actual=10.563031s q_error=2.9261
job_full_c8220_5: pred=1.350469s actual=0.978475s q_error=1.3802
job_full_c8220_6: pred=2.117179s actual=2.208533s q_error=1.0431
job_full_c8220_7: pred=5.390313s actual=2.501070s q_error=2.1552
job_full_c8220_8: pred=3.344840s actual=3.990029s q_error=1.1929
job_full_c8220_9: pred=26.249752s actual=21.196683s q_error=1.2384
job_full_c8220_10: pred=11.042303s actual=8.075350s q_error=1.3674
job_full_c8220_11: pred=29.388584s actual=26.857184s q_error=1.0943
job_full_c8220_12: pred=25.460618s actual=22.140122s q_error=1.1500
job_full_c8220_13: pred=2.718167s actual=2.534943s q_error=1.0723
job_full_c8220_14: pred=2.796835s actual=2.584857s q_error=1.0820
job_full_c8220_15: pred=5.167906s actual=7.575187s q_error=1.4658
job_full_c8220_16: pred=8.371212s actual=10.688525s q_error=1.2768
job_full_c8220_17: pred=7.610856s actual=10.063763s q_error=1.3223
job_full_c8220_18: pred=10.386488s actual=10.034635s q_error=1.0351
job_full_c8220_19: pred=10.830843s actual=7.319890s q_error=1.4796
job_full_c8220_20: pred=10.395471s actual=6.962943s q_error=1.4930
job_full_c8220_21: pred=11.914095s actual=7.088226s q_error=1.6808
job_full_c8220_22: pred=10.660065s actual=11.161621s q_error=1.0470
job_full_c8220_23: pred=18.658833s actual=14.394615s q_error=1.2962
job_full_c8220_24: pred=10.204193s actual=4.925298s q_error=2.0718
job_full_c8220_25: pred=33.000500s actual=18.671276s q_error=1.7674
job_full_c8220_26: pred=4.333589s actual=5.849403s q_error=1.3498
job_full_c8220_27: pred=29.769555s actual=27.473789s q_error=1.0836
job_full_c8220_28: pred=1.008853s actual=0.457662s q_error=2.2044
job_full_c8220_29: pred=1.358250s actual=0.586060s q_error=2.3176
job_full_c8220_30: pred=0.774210s actual=0.366206s q_error=2.1141
job_full_c8220_31: pred=1.329368s actual=0.586076s q_error=2.2683
job_full_c8220_32: pred=14.354623s actual=6.212200s q_error=2.3107
job_full_c8220_33: pred=11.192010s actual=6.149403s q_error=1.8200
job_full_c8220_34: pred=10.397361s actual=4.653701s q_error=2.2342
job_full_c8220_35: pred=8.918608s actual=5.380522s q_error=1.6576
job_full_c8220_36: pred=10.834129s actual=6.041000s q_error=1.7934
job_full_c8220_37: pred=45.992578s actual=18.410433s q_error=2.4982
job_full_c8220_38: pred=7.330094s actual=6.179959s q_error=1.1861
job_full_c8220_39: pred=2.156628s actual=2.329659s q_error=1.0802
job_full_c8220_40: pred=2.104848s actual=2.249410s q_error=1.0687
job_full_c8220_41: pred=5.802800s actual=4.352833s q_error=1.3331
job_full_c8220_42: pred=17.521246s actual=10.200384s q_error=1.7177
job_full_c8220_43: pred=70.299050s actual=21.095999s q_error=3.3323
job_full_c8220_44: pred=1.614783s actual=0.740530s q_error=2.1806
job_full_c8220_45: pred=1.438345s actual=0.686113s q_error=2.0964
job_full_c8220_46: pred=1.351758s actual=0.630046s q_error=2.1455
job_full_c8220_47: pred=1.993877s actual=1.803751s q_error=1.1054
job_full_c8220_48: pred=4.488507s actual=4.654181s q_error=1.0369
job_full_c8220_49: pred=0.677210s actual=0.387396s q_error=1.7481
job_full_c8220_50: pred=0.925433s actual=0.423591s q_error=2.1847
job_full_c8220_51: pred=1.839349s actual=1.709420s q_error=1.0760
job_full_c8220_52: pred=0.587113s actual=1.425871s q_error=2.4286
job_full_c8220_53: pred=1.871693s actual=1.736582s q_error=1.0778
job_full_c8220_54: pred=2.874296s actual=2.291976s q_error=1.2541
job_full_c8220_55: pred=1.533218s actual=0.967681s q_error=1.5844
job_full_c8220_56: pred=7.038389s actual=3.169967s q_error=2.2203
job_full_c8220_57: pred=1.337390s actual=0.783393s q_error=1.7072
job_full_c8220_58: pred=0.935860s actual=0.465611s q_error=2.0100
job_full_c8220_59: pred=1.447922s actual=0.729034s q_error=1.9861
job_full_c8220_60: pred=0.111736s actual=0.226457s q_error=2.0267
job_full_c8220_61: pred=2.592929s actual=1.621557s q_error=1.5990
job_full_c8220_62: pred=1.757618s actual=3.338705s q_error=1.8996
job_full_c8220_63: pred=7.638640s actual=4.024674s q_error=1.8980
job_full_c8220_64: pred=8.804945s actual=4.697874s q_error=1.8742
job_full_c8220_65: pred=7.432962s actual=4.003509s q_error=1.8566
job_full_c8220_66: pred=8.669166s actual=4.430098s q_error=1.9569
job_full_c8220_67: pred=7.698288s actual=4.111290s q_error=1.8725
job_full_c8220_68: pred=13.973713s actual=8.652514s q_error=1.6150
job_full_c8220_69: pred=9.315642s actual=5.683184s q_error=1.6392
job_full_c8220_70: pred=1.396432s actual=2.103513s q_error=1.5063
job_full_c8220_71: pred=1.934586s actual=2.001956s q_error=1.0348
job_full_c8220_72: pred=21.384957s actual=24.881011s q_error=1.1635
job_full_c8220_73: pred=2.671786s actual=3.466540s q_error=1.2975
job_full_c8220_74: pred=14.779734s actual=19.992886s q_error=1.3527
job_full_c8220_75: pred=2.546702s actual=3.527708s q_error=1.3852
job_full_c8220_76: pred=4.010555s actual=7.215452s q_error=1.7991

Test set (job_full, 77 queries): q-error avg=1.6554 p50=1.6150 p75=2.0100 p90=2.2478 min=1.0348 max=3.3323
