job_full_c8220_0: pred=3.152291s actual=2.928099s q_error=1.0766
job_full_c8220_1: pred=3.582441s actual=2.302204s q_error=1.5561
job_full_c8220_2: pred=13.539991s actual=20.287203s q_error=1.4983
job_full_c8220_3: pred=1.552377s actual=1.547206s q_error=1.0033
job_full_c8220_4: pred=3.702075s actual=10.563031s q_error=2.8533
job_full_c8220_5: pred=1.753106s actual=0.978475s q_error=1.7917
job_full_c8220_6: pred=4.762568s actual=2.208533s q_error=2.1564
job_full_c8220_7: pred=3.508176s actual=2.501070s q_error=1.4027
job_full_c8220_8: pred=3.147405s actual=3.990029s q_error=1.2677
job_full_c8220_9: pred=4.327753s actual=21.196683s q_error=4.8978
job_full_c8220_10: pred=2.391750s actual=8.075350s q_error=3.3763
job_full_c8220_11: pred=5.326256s actual=26.857184s q_error=5.0424
job_full_c8220_12: pred=5.419827s actual=22.140122s q_error=4.0850
job_full_c8220_13: pred=5.926822s actual=2.534943s q_error=2.3380
job_full_c8220_14: pred=5.798269s actual=2.584857s q_error=2.2432
job_full_c8220_15: pred=6.407093s actual=7.575187s q_error=1.1823
job_full_c8220_16: pred=6.291939s actual=10.688525s q_error=1.6988
job_full_c8220_17: pred=6.374903s actual=10.063763s q_error=1.5787
job_full_c8220_18: pred=5.940393s actual=10.034635s q_error=1.6892
job_full_c8220_19: pred=5.772102s actual=7.319890s q_error=1.2681
job_full_c8220_20: pred=5.772102s actual=6.962943s q_error=1.2063
job_full_c8220_21: pred=5.769861s actual=7.088226s q_error=1.2285
job_full_c8220_22: pred=5.934655s actual=11.161621s q_error=1.8808
job_full_c8220_23: pred=7.894137s actual=14.394615s q_error=1.8235
job_full_c8220_24: pred=5.248698s actual=4.925298s q_error=1.0657
job_full_c8220_25: pred=7.867243s actual=18.671276s q_error=2.3733
job_full_c8220_26: pred=9.133271s actual=5.849403s q_error=1.5614
job_full_c8220_27: pred=8.551498s actual=27.473789s q_error=3.2127
job_full_c8220_28: pred=0.998232s actual=0.457662s q_error=2.1812
job_full_c8220_29: pred=1.599325s actual=0.586060s q_error=2.7289
job_full_c8220_30: pred=0.988175s actual=0.366206s q_error=2.6984
job_full_c8220_31: pred=1.599017s actual=0.586076s q_error=2.7283
job_full_c8220_32: pred=4.155441s actual=6.212200s q_error=1.4950
job_full_c8220_33: pred=4.334588s actual=6.149403s q_error=1.4187
job_full_c8220_34: pred=4.363337s actual=4.653701s q_error=1.0665
job_full_c8220_35: pred=4.508602s actual=5.380522s q_error=1.1934
job_full_c8220_36: pred=11.139797s actual=6.041000s q_error=1.8440
job_full_c8220_37: pred=8.155636s actual=18.410433s q_error=2.2574
job_full_c8220_38: pred=9.563223s actual=6.179959s q_error=1.5475
job_full_c8220_39: pred=3.559026s actual=2.329659s q_error=1.5277
job_full_c8220_40: pred=5.120199s actual=2.249410s q_error=2.2762
job_full_c8220_41: pred=9.727278s actual=4.352833s q_error=2.2347
job_full_c8220_42: pred=17.786670s actual=10.200384s q_error=1.7437
job_full_c8220_43: pred=16.792181s actual=21.095999s q_error=1.2563
job_full_c8220_44: pred=1.358484s actual=0.740530s q_error=1.8345
job_full_c8220_45: pred=1.261952s actual=0.686113s q_error=1.8393
job_full_c8220_46: pred=1.244471s actual=0.630046s q_error=1.9752
job_full_c8220_47: pred=1.398059s actual=1.803751s q_error=1.2902
job_full_c8220_48: pred=10.884674s actual=4.654181s q_error=2.3387
job_full_c8220_49: pred=0.990541s actual=0.387396s q_error=2.5569
job_full_c8220_50: pred=0.990541s actual=0.423591s q_error=2.3384
job_full_c8220_51: pred=3.504034s actual=1.709420s q_error=2.0498
job_full_c8220_52: pred=3.501571s actual=1.425871s q_error=2.4557
job_full_c8220_53: pred=3.170428s actual=1.736582s q_error=1.8257
job_full_c8220_54: pred=1.303125s actual=2.291976s q_error=1.7588
job_full_c8220_55: pred=1.581825s actual=0.967681s q_error=1.6347
job_full_c8220_56: pred=2.653984s actual=3.169967s q_error=1.1944
job_full_c8220_57: pred=1.116851s actual=0.783393s q_error=1.4257
job_full_c8220_58: pred=0.933603s actual=0.465611s q_error=2.0051
job_full_c8220_59: pred=1.156868s actual=0.729034s q_error=1.5869
job_full_c8220_60: pred=1.708550s actual=0.226457s q_error=7.5447
job_full_c8220_61: pred=2.973629s actual=1.621557s q_error=1.8338
job_full_c8220_62: pred=7.858326s actual=3.338705s q_error=2.3537
job_full_c8220_63: pred=2.925044s actual=4.024674s q_error=1.3759
job_full_c8220_64: pred=2.720396s actual=4.697874s q_error=1.7269
job_full_c8220_65: pred=2.925044s actual=4.003509s q_error=1.3687
job_full_c8220_66: pred=2.893289s actual=4.430098s q_error=1.5312
job_full_c8220_67: pred=2.925044s actual=4.111290s q_error=1.4055
job_full_c8220_68: pred=3.413380s actual=8.652514s q_error=2.5349
job_full_c8220_69: pred=3.732041s actual=5.683184s q_error=1.5228
job_full_c8220_70: pred=5.448781s actual=2.103513s q_error=2.5903
job_full_c8220_71: pred=5.539104s actual=2.001956s q_error=2.7668
job_full_c8220_72: pred=21.090907s actual=24.881011s q_error=1.1797
job_full_c8220_73: pred=5.661782s actual=3.466540s q_error=1.6333
job_full_c8220_74: pred=5.437921s actual=19.992886s q_error=3.6766
job_full_c8220_75: pred=5.784733s actual=3.527708s q_error=1.6398
job_full_c8220_76: pred=5.006686s actual=7.215452s q_error=1.4412

Test set (job_full, 77 queries): q-error avg=2.0363 p50=1.7588 p75=2.3384 p90=2.8014 min=1.0033 max=7.5447
