job_full_c8220_0: pred=3.859304s actual=2.928099s q_error=1.3180
job_full_c8220_1: pred=3.883968s actual=2.302204s q_error=1.6871
job_full_c8220_2: pred=13.367744s actual=20.287203s q_error=1.5176
job_full_c8220_3: pred=1.465720s actual=1.547206s q_error=1.0556
job_full_c8220_4: pred=3.881371s actual=10.563031s q_error=2.7215
job_full_c8220_5: pred=2.094069s actual=0.978475s q_error=2.1401
job_full_c8220_6: pred=5.196699s actual=2.208533s q_error=2.3530
job_full_c8220_7: pred=4.062305s actual=2.501070s q_error=1.6242
job_full_c8220_8: pred=3.217638s actual=3.990029s q_error=1.2400
job_full_c8220_9: pred=4.793215s actual=21.196683s q_error=4.4222
job_full_c8220_10: pred=2.350983s actual=8.075350s q_error=3.4349
job_full_c8220_11: pred=6.817261s actual=26.857184s q_error=3.9396
job_full_c8220_12: pred=6.862933s actual=22.140122s q_error=3.2260
job_full_c8220_13: pred=6.617432s actual=2.534943s q_error=2.6105
job_full_c8220_14: pred=6.991639s actual=2.584857s q_error=2.7048
job_full_c8220_15: pred=6.787653s actual=7.575187s q_error=1.1160
job_full_c8220_16: pred=6.916000s actual=10.688525s q_error=1.5455
job_full_c8220_17: pred=6.942280s actual=10.063763s q_error=1.4496
job_full_c8220_18: pred=6.011543s actual=10.034635s q_error=1.6692
job_full_c8220_19: pred=5.548955s actual=7.319890s q_error=1.3191
job_full_c8220_20: pred=5.548955s actual=6.962943s q_error=1.2548
job_full_c8220_21: pred=5.548955s actual=7.088226s q_error=1.2774
job_full_c8220_22: pred=5.987721s actual=11.161621s q_error=1.8641
job_full_c8220_23: pred=7.349992s actual=14.394615s q_error=1.9585
job_full_c8220_24: pred=4.789834s actual=4.925298s q_error=1.0283
job_full_c8220_25: pred=8.851649s actual=18.671276s q_error=2.1094
job_full_c8220_26: pred=9.482250s actual=5.849403s q_error=1.6211
job_full_c8220_27: pred=9.957779s actual=27.473789s q_error=2.7590
job_full_c8220_28: pred=1.169398s actual=0.457662s q_error=2.5552
job_full_c8220_29: pred=1.480848s actual=0.586060s q_error=2.5268
job_full_c8220_30: pred=1.134644s actual=0.366206s q_error=3.0984
job_full_c8220_31: pred=1.491154s actual=0.586076s q_error=2.5443
job_full_c8220_32: pred=4.061355s actual=6.212200s q_error=1.5296
job_full_c8220_33: pred=4.646189s actual=6.149403s q_error=1.3235
job_full_c8220_34: pred=4.052235s actual=4.653701s q_error=1.1484
job_full_c8220_35: pred=5.942089s actual=5.380522s q_error=1.1044
job_full_c8220_36: pred=11.419972s actual=6.041000s q_error=1.8904
job_full_c8220_37: pred=9.867886s actual=18.410433s q_error=1.8657
job_full_c8220_38: pred=10.309898s actual=6.179959s q_error=1.6683
job_full_c8220_39: pred=4.616381s actual=2.329659s q_error=1.9816
job_full_c8220_40: pred=7.226186s actual=2.249410s q_error=3.2125
job_full_c8220_41: pred=10.865472s actual=4.352833s q_error=2.4962
job_full_c8220_42: pred=19.881648s actual=10.200384s q_error=1.9491
job_full_c8220_43: pred=19.452628s actual=21.095999s q_error=1.0845
job_full_c8220_44: pred=1.408825s actual=0.740530s q_error=1.9025
job_full_c8220_45: pred=1.526937s actual=0.686113s q_error=2.2255
job_full_c8220_46: pred=1.507111s actual=0.630046s q_error=2.3921
job_full_c8220_47: pred=1.628606s actual=1.803751s q_error=1.1075
job_full_c8220_48: pred=10.739094s actual=4.654181s q_error=2.3074
job_full_c8220_49: pred=0.904808s actual=0.387396s q_error=2.3356
job_full_c8220_50: pred=0.904808s actual=0.423591s q_error=2.1360
job_full_c8220_51: pred=5.101451s actual=1.709420s q_error=2.9843
job_full_c8220_52: pred=4.145769s actual=1.425871s q_error=2.9075
job_full_c8220_53: pred=4.456946s actual=1.736582s q_error=2.5665
job_full_c8220_54: pred=1.330122s actual=2.291976s q_error=1.7231
job_full_c8220_55: pred=1.645399s actual=0.967681s q_error=1.7004
job_full_c8220_56: pred=2.951436s actual=3.169967s q_error=1.0740
job_full_c8220_57: pred=1.192588s actual=0.783393s q_error=1.5223
job_full_c8220_58: pred=0.975153s actual=0.465611s q_error=2.0944
job_full_c8220_59: pred=1.162556s actual=0.729034s q_error=1.5947
job_full_c8220_60: pred=1.558930s actual=0.226457s q_error=6.8840
job_full_c8220_61: pred=3.678916s actual=1.621557s q_error=2.2688
job_full_c8220_62: pred=8.992419s actual=3.338705s q_error=2.6934
job_full_c8220_63: pred=3.229203s actual=4.024674s q_error=1.2463
job_full_c8220_64: pred=3.004770s actual=4.697874s q_error=1.5635
job_full_c8220_65: pred=3.229203s actual=4.003509s q_error=1.2398
job_full_c8220_66: pred=2.825904s actual=4.430098s q_error=1.5677
job_full_c8220_67: pred=3.229203s actual=4.111290s q_error=1.2732
job_full_c8220_68: pred=3.996993s actual=8.652514s q_error=2.1648
job_full_c8220_69: pred=3.299642s actual=5.683184s q_error=1.7224
job_full_c8220_70: pred=5.982097s actual=2.103513s q_error=2.8439
job_full_c8220_71: pred=5.828297s actual=2.001956s q_error=2.9113
job_full_c8220_72: pred=14.975033s actual=24.881011s q_error=1.6615
job_full_c8220_73: pred=6.196922s actual=3.466540s q_error=1.7876
job_full_c8220_74: pred=5.758061s actual=19.992886s q_error=3.4722
job_full_c8220_75: pred=6.515546s actual=3.527708s q_error=1.8470
job_full_c8220_76: pred=5.743092s actual=7.215452s q_error=1.2564

Test set (job_full, 77 queries): q-error avg=2.0769 p50=1.8657 p75=2.5443 p90=3.0299 min=1.0283 max=6.8840
