job_full_c8220_0: pred=1.927157s actual=2.928099s q_error=1.5194
job_full_c8220_1: pred=2.311813s actual=2.302204s q_error=1.0042
job_full_c8220_2: pred=12.162096s actual=20.287203s q_error=1.6681
job_full_c8220_3: pred=2.232553s actual=1.547206s q_error=1.4430
job_full_c8220_4: pred=4.455766s actual=10.563031s q_error=2.3706
job_full_c8220_5: pred=2.340388s actual=0.978475s q_error=2.3919
job_full_c8220_6: pred=2.816788s actual=2.208533s q_error=1.2754
job_full_c8220_7: pred=2.321314s actual=2.501070s q_error=1.0774
job_full_c8220_8: pred=4.478639s actual=3.990029s q_error=1.1225
job_full_c8220_9: pred=19.865836s actual=21.196683s q_error=1.0670
job_full_c8220_10: pred=2.682194s actual=8.075350s q_error=3.0107
job_full_c8220_11: pred=4.001890s actual=26.857184s q_error=6.7111
job_full_c8220_12: pred=3.885041s actual=22.140122s q_error=5.6988
job_full_c8220_13: pred=3.236649s actual=2.534943s q_error=1.2768
job_full_c8220_14: pred=3.524656s actual=2.584857s q_error=1.3636
job_full_c8220_15: pred=4.977924s actual=7.575187s q_error=1.5218
job_full_c8220_16: pred=9.464856s actual=10.688525s q_error=1.1293
job_full_c8220_17: pred=8.189758s actual=10.063763s q_error=1.2288
job_full_c8220_18: pred=6.031112s actual=10.034635s q_error=1.6638
job_full_c8220_19: pred=5.259918s actual=7.319890s q_error=1.3916
job_full_c8220_20: pred=4.967335s actual=6.962943s q_error=1.4017
job_full_c8220_21: pred=5.000822s actual=7.088226s q_error=1.4174
job_full_c8220_22: pred=13.862803s actual=11.161621s q_error=1.2420
job_full_c8220_23: pred=2.157037s actual=14.394615s q_error=6.6733
job_full_c8220_24: pred=3.305488s actual=4.925298s q_error=1.4900
job_full_c8220_25: pred=4.117518s actual=18.671276s q_error=4.5346
job_full_c8220_26: pred=4.033183s actual=5.849403s q_error=1.4503
job_full_c8220_27: pred=12.522119s actual=27.473789s q_error=2.1940
job_full_c8220_28: pred=1.392833s actual=0.457662s q_error=3.0434
job_full_c8220_29: pred=1.434440s actual=0.586060s q_error=2.4476
job_full_c8220_30: pred=1.238378s actual=0.366206s q_error=3.3816
job_full_c8220_31: pred=1.439693s actual=0.586076s q_error=2.4565
job_full_c8220_32: pred=5.711893s actual=6.212200s q_error=1.0876
job_full_c8220_33: pred=4.613234s actual=6.149403s q_error=1.3330
job_full_c8220_34: pred=3.060908s actual=4.653701s q_error=1.5204
job_full_c8220_35: pred=3.376006s actual=5.380522s q_error=1.5938
job_full_c8220_36: pred=4.484514s actual=6.041000s q_error=1.3471
job_full_c8220_37: pred=8.048755s actual=18.410433s q_error=2.2874
job_full_c8220_38: pred=5.936498s actual=6.179959s q_error=1.0410
job_full_c8220_39: pred=3.297343s actual=2.329659s q_error=1.4154
job_full_c8220_40: pred=3.466820s actual=2.249410s q_error=1.5412
job_full_c8220_41: pred=4.591399s actual=4.352833s q_error=1.0548
job_full_c8220_42: pred=9.351372s actual=10.200384s q_error=1.0908
job_full_c8220_43: pred=7.413239s actual=21.095999s q_error=2.8457
job_full_c8220_44: pred=1.439756s actual=0.740530s q_error=1.9442
job_full_c8220_45: pred=1.237534s actual=0.686113s q_error=1.8037
job_full_c8220_46: pred=1.380837s actual=0.630046s q_error=2.1916
job_full_c8220_47: pred=1.788697s actual=1.803751s q_error=1.0084
job_full_c8220_48: pred=4.135045s actual=4.654181s q_error=1.1255
job_full_c8220_49: pred=1.844954s actual=0.387396s q_error=4.7625
job_full_c8220_50: pred=1.577349s actual=0.423591s q_error=3.7238
job_full_c8220_51: pred=3.497476s actual=1.709420s q_error=2.0460
job_full_c8220_52: pred=3.588929s actual=1.425871s q_error=2.5170
job_full_c8220_53: pred=4.181154s actual=1.736582s q_error=2.4077
job_full_c8220_54: pred=1.057178s actual=2.291976s q_error=2.1680
job_full_c8220_55: pred=1.017208s actual=0.967681s q_error=1.0512
job_full_c8220_56: pred=1.646871s actual=3.169967s q_error=1.9248
job_full_c8220_57: pred=1.674922s actual=0.783393s q_error=2.1380
job_full_c8220_58: pred=1.291469s actual=0.465611s q_error=2.7737
job_full_c8220_59: pred=2.036431s actual=0.729034s q_error=2.7933
job_full_c8220_60: pred=1.501358s actual=0.226457s q_error=6.6298
job_full_c8220_61: pred=1.362004s actual=1.621557s q_error=1.1906
job_full_c8220_62: pred=3.592475s actual=3.338705s q_error=1.0760
job_full_c8220_63: pred=3.386120s actual=4.024674s q_error=1.1886
job_full_c8220_64: pred=2.749310s actual=4.697874s q_error=1.7087
job_full_c8220_65: pred=3.197022s actual=4.003509s q_error=1.2523
job_full_c8220_66: pred=2.163515s actual=4.430098s q_error=2.0476
job_full_c8220_67: pred=3.386120s actual=4.111290s q_error=1.2142
job_full_c8220_68: pred=7.682970s actual=8.652514s q_error=1.1262
job_full_c8220_69: pred=3.496076s actual=5.683184s q_error=1.6256
job_full_c8220_70: pred=2.047504s actual=2.103513s q_error=1.0274
job_full_c8220_71: pred=1.811172s actual=2.001956s q_error=1.1053
job_full_c8220_72: pred=12.921534s actual=24.881011s q_error=1.9255
job_full_c8220_73: pred=2.227806s actual=3.466540s q_error=1.5560
job_full_c8220_74: pred=4.839551s actual=19.992886s q_error=4.1311
job_full_c8220_75: pred=2.130969s actual=3.527708s q_error=1.6554
job_full_c8220_76: pred=4.939817s actual=7.215452s q_error=1.4607

Test set (job_full, 77 queries): q-error avg=2.0536 p50=1.5412 p75=2.3706 p90=3.5185 min=1.0042 max=6.7111
