job_full_c8220_0: pred=9.545722s actual=2.928099s q_error=3.2600
job_full_c8220_1: pred=1.935178s actual=2.302204s q_error=1.1897
job_full_c8220_2: pred=15.194565s actual=20.287203s q_error=1.3352
job_full_c8220_3: pred=1.781283s actual=1.547206s q_error=1.1513
job_full_c8220_4: pred=30.931312s actual=10.563031s q_error=2.9283
job_full_c8220_5: pred=1.357151s actual=0.978475s q_error=1.3870
job_full_c8220_6: pred=2.037422s actual=2.208533s q_error=1.0840
job_full_c8220_7: pred=7.900329s actual=2.501070s q_error=3.1588
job_full_c8220_8: pred=3.972205s actual=3.990029s q_error=1.0045
job_full_c8220_9: pred=27.543059s actual=21.196683s q_error=1.2994
job_full_c8220_10: pred=8.359527s actual=8.075350s q_error=1.0352
job_full_c8220_11: pred=23.504922s actual=26.857184s q_error=1.1426
job_full_c8220_12: pred=17.619791s actual=22.140122s q_error=1.2565
job_full_c8220_13: pred=2.056499s actual=2.534943s q_error=1.2326
job_full_c8220_14: pred=2.063666s actual=2.584857s q_error=1.2526
job_full_c8220_15: pred=3.693943s actual=7.575187s q_error=2.0507
job_full_c8220_16: pred=7.529805s actual=10.688525s q_error=1.4195
job_full_c8220_17: pred=6.867374s actual=10.063763s q_error=1.4654
job_full_c8220_18: pred=12.548365s actual=10.034635s q_error=1.2505
job_full_c8220_19: pred=11.001005s actual=7.319890s q_error=1.5029
job_full_c8220_20: pred=11.561476s actual=6.962943s q_error=1.6604
job_full_c8220_21: pred=11.388625s actual=7.088226s q_error=1.6067
job_full_c8220_22: pred=13.683582s actual=11.161621s q_error=1.2259
job_full_c8220_23: pred=17.719124s actual=14.394615s q_error=1.2310
job_full_c8220_24: pred=11.601180s actual=4.925298s q_error=2.3554
job_full_c8220_25: pred=32.447177s actual=18.671276s q_error=1.7378
job_full_c8220_26: pred=3.072891s actual=5.849403s q_error=1.9036
job_full_c8220_27: pred=27.790244s actual=27.473789s q_error=1.0115
job_full_c8220_28: pred=1.052357s actual=0.457662s q_error=2.2994
job_full_c8220_29: pred=1.285344s actual=0.586060s q_error=2.1932
job_full_c8220_30: pred=0.772364s actual=0.366206s q_error=2.1091
job_full_c8220_31: pred=1.273123s actual=0.586076s q_error=2.1723
job_full_c8220_32: pred=14.020120s actual=6.212200s q_error=2.2569
job_full_c8220_33: pred=13.033013s actual=6.149403s q_error=2.1194
job_full_c8220_34: pred=10.259966s actual=4.653701s q_error=2.2047
job_full_c8220_35: pred=8.988707s actual=5.380522s q_error=1.6706
job_full_c8220_36: pred=8.405474s actual=6.041000s q_error=1.3914
job_full_c8220_37: pred=41.644208s actual=18.410433s q_error=2.2620
job_full_c8220_38: pred=7.290292s actual=6.179959s q_error=1.1797
job_full_c8220_39: pred=2.122668s actual=2.329659s q_error=1.0975
job_full_c8220_40: pred=2.158472s actual=2.249410s q_error=1.0421
job_full_c8220_41: pred=6.050151s actual=4.352833s q_error=1.3899
job_full_c8220_42: pred=16.275704s actual=10.200384s q_error=1.5956
job_full_c8220_43: pred=51.895849s actual=21.095999s q_error=2.4600
job_full_c8220_44: pred=1.522888s actual=0.740530s q_error=2.0565
job_full_c8220_45: pred=1.370894s actual=0.686113s q_error=1.9981
job_full_c8220_46: pred=1.238976s actual=0.630046s q_error=1.9665
job_full_c8220_47: pred=2.107016s actual=1.803751s q_error=1.1681
job_full_c8220_48: pred=4.928725s actual=4.654181s q_error=1.0590
job_full_c8220_49: pred=0.684134s actual=0.387396s q_error=1.7660
job_full_c8220_50: pred=1.041113s actual=0.423591s q_error=2.4578
job_full_c8220_51: pred=1.699209s actual=1.709420s q_error=1.0060
job_full_c8220_52: pred=0.420931s actual=1.425871s q_error=3.3874
job_full_c8220_53: pred=1.795108s actual=1.736582s q_error=1.0337
job_full_c8220_54: pred=2.409588s actual=2.291976s q_error=1.0513
job_full_c8220_55: pred=1.441921s actual=0.967681s q_error=1.4901
job_full_c8220_56: pred=5.944548s actual=3.169967s q_error=1.8753
job_full_c8220_57: pred=1.159533s actual=0.783393s q_error=1.4801
job_full_c8220_58: pred=0.867726s actual=0.465611s q_error=1.8636
job_full_c8220_59: pred=1.174590s actual=0.729034s q_error=1.6112
job_full_c8220_60: pred=0.119114s actual=0.226457s q_error=1.9012
job_full_c8220_61: pred=2.957520s actual=1.621557s q_error=1.8239
job_full_c8220_62: pred=2.100385s actual=3.338705s q_error=1.5896
job_full_c8220_63: pred=9.627350s actual=4.024674s q_error=2.3921
job_full_c8220_64: pred=9.333226s actual=4.697874s q_error=1.9867
job_full_c8220_65: pred=9.728097s actual=4.003509s q_error=2.4299
job_full_c8220_66: pred=13.900910s actual=4.430098s q_error=3.1378
job_full_c8220_67: pred=9.669225s actual=4.111290s q_error=2.3519
job_full_c8220_68: pred=16.043354s actual=8.652514s q_error=1.8542
job_full_c8220_69: pred=13.438772s actual=5.683184s q_error=2.3647
job_full_c8220_70: pred=1.982788s actual=2.103513s q_error=1.0609
job_full_c8220_71: pred=2.772750s actual=2.001956s q_error=1.3850
job_full_c8220_72: pred=13.676790s actual=24.881011s q_error=1.8192
job_full_c8220_73: pred=1.844375s actual=3.466540s q_error=1.8795
job_full_c8220_74: pred=15.470763s actual=19.992886s q_error=1.2923
job_full_c8220_75: pred=1.781134s actual=3.527708s q_error=1.9806
job_full_c8220_76: pred=4.128199s actual=7.215452s q_error=1.7478

Test set (job_full, 77 queries): q-error avg=1.7383 p50=1.6604 p75=2.1091 p90=2.4072 min=1.0045 max=3.3874
