job_full_c8220_0: pred=3.457663s actual=2.928099s q_error=1.1809
job_full_c8220_1: pred=1.875278s actual=2.302204s q_error=1.2277
job_full_c8220_2: pred=47.457337s actual=20.287203s q_error=2.3393
job_full_c8220_3: pred=1.108820s actual=1.547206s q_error=1.3954
job_full_c8220_4: pred=2.489411s actual=10.563031s q_error=4.2432
job_full_c8220_5: pred=1.909100s actual=0.978475s q_error=1.9511
job_full_c8220_6: pred=13.832252s actual=2.208533s q_error=6.2631
job_full_c8220_7: pred=3.762810s actual=2.501070s q_error=1.5045
job_full_c8220_8: pred=6.693244s actual=3.990029s q_error=1.6775
job_full_c8220_9: pred=23.309372s actual=21.196683s q_error=1.0997
job_full_c8220_10: pred=1.827295s actual=8.075350s q_error=4.4193
job_full_c8220_11: pred=17.528601s actual=26.857184s q_error=1.5322
job_full_c8220_12: pred=17.733306s actual=22.140122s q_error=1.2485
job_full_c8220_13: pred=40.543212s actual=2.534943s q_error=15.9937
job_full_c8220_14: pred=26.071414s actual=2.584857s q_error=10.0862
job_full_c8220_15: pred=7.408282s actual=7.575187s q_error=1.0225
job_full_c8220_16: pred=10.384288s actual=10.688525s q_error=1.0293
job_full_c8220_17: pred=9.246815s actual=10.063763s q_error=1.0883
job_full_c8220_18: pred=10.524346s actual=10.034635s q_error=1.0488
job_full_c8220_19: pred=7.434087s actual=7.319890s q_error=1.0156
job_full_c8220_20: pred=6.649666s actual=6.962943s q_error=1.0471
job_full_c8220_21: pred=6.565412s actual=7.088226s q_error=1.0796
job_full_c8220_22: pred=15.939977s actual=11.161621s q_error=1.4281
job_full_c8220_23: pred=4.744679s actual=14.394615s q_error=3.0338
job_full_c8220_24: pred=5.549277s actual=4.925298s q_error=1.1267
job_full_c8220_25: pred=6.175594s actual=18.671276s q_error=3.0234
job_full_c8220_26: pred=10.511085s actual=5.849403s q_error=1.7970
job_full_c8220_27: pred=20.711861s actual=27.473789s q_error=1.3265
job_full_c8220_28: pred=0.585364s actual=0.457662s q_error=1.2790
job_full_c8220_29: pred=0.715185s actual=0.586060s q_error=1.2203
job_full_c8220_30: pred=0.600715s actual=0.366206s q_error=1.6404
job_full_c8220_31: pred=0.669871s actual=0.586076s q_error=1.1430
job_full_c8220_32: pred=4.844487s actual=6.212200s q_error=1.2823
job_full_c8220_33: pred=5.253867s actual=6.149403s q_error=1.1705
job_full_c8220_34: pred=2.832932s actual=4.653701s q_error=1.6427
job_full_c8220_35: pred=3.688490s actual=5.380522s q_error=1.4587
job_full_c8220_36: pred=10.169165s actual=6.041000s q_error=1.6834
job_full_c8220_37: pred=9.464869s actual=18.410433s q_error=1.9451
job_full_c8220_38: pred=10.977227s actual=6.179959s q_error=1.7763
job_full_c8220_39: pred=2.520598s actual=2.329659s q_error=1.0820
job_full_c8220_40: pred=6.681138s actual=2.249410s q_error=2.9702
job_full_c8220_41: pred=12.220616s actual=4.352833s q_error=2.8075
job_full_c8220_42: pred=18.526956s actual=10.200384s q_error=1.8163
job_full_c8220_43: pred=15.028988s actual=21.095999s q_error=1.4037
job_full_c8220_44: pred=1.291167s actual=0.740530s q_error=1.7436
job_full_c8220_45: pred=1.344586s actual=0.686113s q_error=1.9597
job_full_c8220_46: pred=0.647352s actual=0.630046s q_error=1.0275
job_full_c8220_47: pred=1.642593s actual=1.803751s q_error=1.0981
job_full_c8220_48: pred=26.740352s actual=4.654181s q_error=5.7454
job_full_c8220_49: pred=0.354630s actual=0.387396s q_error=1.0924
job_full_c8220_50: pred=0.796154s actual=0.423591s q_error=1.8795
job_full_c8220_51: pred=3.192787s actual=1.709420s q_error=1.8678
job_full_c8220_52: pred=3.093672s actual=1.425871s q_error=2.1697
job_full_c8220_53: pred=3.594038s actual=1.736582s q_error=2.0696
job_full_c8220_54: pred=0.696292s actual=2.291976s q_error=3.2917
job_full_c8220_55: pred=2.251848s actual=0.967681s q_error=2.3271
job_full_c8220_56: pred=1.553278s actual=3.169967s q_error=2.0408
job_full_c8220_57: pred=0.816581s actual=0.783393s q_error=1.0424
job_full_c8220_58: pred=0.467623s actual=0.465611s q_error=1.0043
job_full_c8220_59: pred=0.861882s actual=0.729034s q_error=1.1822
job_full_c8220_60: pred=0.935529s actual=0.226457s q_error=4.1312
job_full_c8220_61: pred=1.274465s actual=1.621557s q_error=1.2723
job_full_c8220_62: pred=5.913055s actual=3.338705s q_error=1.7711
job_full_c8220_63: pred=4.131044s actual=4.024674s q_error=1.0264
job_full_c8220_64: pred=4.451989s actual=4.697874s q_error=1.0552
job_full_c8220_65: pred=4.131728s actual=4.003509s q_error=1.0320
job_full_c8220_66: pred=9.829651s actual=4.430098s q_error=2.2188
job_full_c8220_67: pred=4.131044s actual=4.111290s q_error=1.0048
job_full_c8220_68: pred=7.650259s actual=8.652514s q_error=1.1310
job_full_c8220_69: pred=5.960007s actual=5.683184s q_error=1.0487
job_full_c8220_70: pred=3.220056s actual=2.103513s q_error=1.5308
job_full_c8220_71: pred=2.890247s actual=2.001956s q_error=1.4437
job_full_c8220_72: pred=19.218213s actual=24.881011s q_error=1.2947
job_full_c8220_73: pred=4.966925s actual=3.466540s q_error=1.4328
job_full_c8220_74: pred=4.784504s actual=19.992886s q_error=4.1787
job_full_c8220_75: pred=5.739850s actual=3.527708s q_error=1.6271
job_full_c8220_76: pred=6.055581s actual=7.215452s q_error=1.1915

Test set (job_full, 77 queries): q-error avg=2.0972 p50=1.4437 p75=1.9597 p90=3.6275 min=1.0043 max=15.9937
