job_full_c8220_0: pred=3.480010s actual=2.928099s q_error=1.1885
job_full_c8220_1: pred=1.365176s actual=2.302204s q_error=1.6864
job_full_c8220_2: pred=41.822783s actual=20.287203s q_error=2.0615
job_full_c8220_3: pred=1.322278s actual=1.547206s q_error=1.1701
job_full_c8220_4: pred=2.146325s actual=10.563031s q_error=4.9214
job_full_c8220_5: pred=1.629512s actual=0.978475s q_error=1.6654
job_full_c8220_6: pred=14.112655s actual=2.208533s q_error=6.3901
job_full_c8220_7: pred=3.780885s actual=2.501070s q_error=1.5117
job_full_c8220_8: pred=5.370769s actual=3.990029s q_error=1.3460
job_full_c8220_9: pred=24.700627s actual=21.196683s q_error=1.1653
job_full_c8220_10: pred=1.654381s actual=8.075350s q_error=4.8812
job_full_c8220_11: pred=19.798829s actual=26.857184s q_error=1.3565
job_full_c8220_12: pred=19.801107s actual=22.140122s q_error=1.1181
job_full_c8220_13: pred=41.979975s actual=2.534943s q_error=16.5605
job_full_c8220_14: pred=25.643036s actual=2.584857s q_error=9.9205
job_full_c8220_15: pred=7.032379s actual=7.575187s q_error=1.0772
job_full_c8220_16: pred=9.871173s actual=10.688525s q_error=1.0828
job_full_c8220_17: pred=8.707607s actual=10.063763s q_error=1.1557
job_full_c8220_18: pred=9.894607s actual=10.034635s q_error=1.0142
job_full_c8220_19: pred=6.798793s actual=7.319890s q_error=1.0766
job_full_c8220_20: pred=6.041926s actual=6.962943s q_error=1.1524
job_full_c8220_21: pred=6.079516s actual=7.088226s q_error=1.1659
job_full_c8220_22: pred=13.813680s actual=11.161621s q_error=1.2376
job_full_c8220_23: pred=5.125506s actual=14.394615s q_error=2.8084
job_full_c8220_24: pred=5.639417s actual=4.925298s q_error=1.1450
job_full_c8220_25: pred=7.946388s actual=18.671276s q_error=2.3497
job_full_c8220_26: pred=9.851923s actual=5.849403s q_error=1.6843
job_full_c8220_27: pred=15.929615s actual=27.473789s q_error=1.7247
job_full_c8220_28: pred=0.712130s actual=0.457662s q_error=1.5560
job_full_c8220_29: pred=0.888648s actual=0.586060s q_error=1.5163
job_full_c8220_30: pred=0.640101s actual=0.366206s q_error=1.7479
job_full_c8220_31: pred=0.858940s actual=0.586076s q_error=1.4656
job_full_c8220_32: pred=5.030758s actual=6.212200s q_error=1.2348
job_full_c8220_33: pred=5.880080s actual=6.149403s q_error=1.0458
job_full_c8220_34: pred=2.894635s actual=4.653701s q_error=1.6077
job_full_c8220_35: pred=3.944323s actual=5.380522s q_error=1.3641
job_full_c8220_36: pred=9.388062s actual=6.041000s q_error=1.5541
job_full_c8220_37: pred=9.867862s actual=18.410433s q_error=1.8657
job_full_c8220_38: pred=10.928392s actual=6.179959s q_error=1.7684
job_full_c8220_39: pred=2.413504s actual=2.329659s q_error=1.0360
job_full_c8220_40: pred=5.626091s actual=2.249410s q_error=2.5011
job_full_c8220_41: pred=11.395180s actual=4.352833s q_error=2.6179
job_full_c8220_42: pred=17.665589s actual=10.200384s q_error=1.7319
job_full_c8220_43: pred=16.154764s actual=21.095999s q_error=1.3059
job_full_c8220_44: pred=1.417463s actual=0.740530s q_error=1.9141
job_full_c8220_45: pred=1.546743s actual=0.686113s q_error=2.2544
job_full_c8220_46: pred=0.721166s actual=0.630046s q_error=1.1446
job_full_c8220_47: pred=1.644401s actual=1.803751s q_error=1.0969
job_full_c8220_48: pred=30.244743s actual=4.654181s q_error=6.4984
job_full_c8220_49: pred=0.468775s actual=0.387396s q_error=1.2101
job_full_c8220_50: pred=0.900150s actual=0.423591s q_error=2.1250
job_full_c8220_51: pred=3.178847s actual=1.709420s q_error=1.8596
job_full_c8220_52: pred=2.939402s actual=1.425871s q_error=2.0615
job_full_c8220_53: pred=2.699982s actual=1.736582s q_error=1.5548
job_full_c8220_54: pred=0.714830s actual=2.291976s q_error=3.2063
job_full_c8220_55: pred=2.726398s actual=0.967681s q_error=2.8175
job_full_c8220_56: pred=1.593712s actual=3.169967s q_error=1.9890
job_full_c8220_57: pred=0.965512s actual=0.783393s q_error=1.2325
job_full_c8220_58: pred=0.579133s actual=0.465611s q_error=1.2438
job_full_c8220_59: pred=0.998005s actual=0.729034s q_error=1.3689
job_full_c8220_60: pred=0.707576s actual=0.226457s q_error=3.1245
job_full_c8220_61: pred=1.118993s actual=1.621557s q_error=1.4491
job_full_c8220_62: pred=6.155129s actual=3.338705s q_error=1.8436
job_full_c8220_63: pred=3.881868s actual=4.024674s q_error=1.0368
job_full_c8220_64: pred=4.358441s actual=4.697874s q_error=1.0779
job_full_c8220_65: pred=3.765150s actual=4.003509s q_error=1.0633
job_full_c8220_66: pred=9.535806s actual=4.430098s q_error=2.1525
job_full_c8220_67: pred=3.881868s actual=4.111290s q_error=1.0591
job_full_c8220_68: pred=7.496515s actual=8.652514s q_error=1.1542
job_full_c8220_69: pred=6.581899s actual=5.683184s q_error=1.1581
job_full_c8220_70: pred=3.078126s actual=2.103513s q_error=1.4633
job_full_c8220_71: pred=2.948942s actual=2.001956s q_error=1.4730
job_full_c8220_72: pred=20.351826s actual=24.881011s q_error=1.2225
job_full_c8220_73: pred=4.971688s actual=3.466540s q_error=1.4342
job_full_c8220_74: pred=6.073116s actual=19.992886s q_error=3.2920
job_full_c8220_75: pred=5.665116s actual=3.527708s q_error=1.6059
job_full_c8220_76: pred=6.275780s actual=7.215452s q_error=1.1497

Test set (job_full, 77 queries): q-error avg=2.1023 p50=1.4730 p75=1.9890 p90=3.1573 min=1.0142 max=16.5605
