job_full_c8220_0: pred=3.686397s actual=2.928099s q_error=1.2590
job_full_c8220_1: pred=3.915478s actual=2.302204s q_error=1.7008
job_full_c8220_2: pred=15.317163s actual=20.287203s q_error=1.3245
job_full_c8220_3: pred=1.338053s actual=1.547206s q_error=1.1563
job_full_c8220_4: pred=2.131349s actual=10.563031s q_error=4.9560
job_full_c8220_5: pred=2.286952s actual=0.978475s q_error=2.3373
job_full_c8220_6: pred=10.568309s actual=2.208533s q_error=4.7852
job_full_c8220_7: pred=3.775926s actual=2.501070s q_error=1.5097
job_full_c8220_8: pred=3.582118s actual=3.990029s q_error=1.1139
job_full_c8220_9: pred=5.408718s actual=21.196683s q_error=3.9190
job_full_c8220_10: pred=2.011996s actual=8.075350s q_error=4.0136
job_full_c8220_11: pred=36.591386s actual=26.857184s q_error=1.3624
job_full_c8220_12: pred=36.613769s actual=22.140122s q_error=1.6537
job_full_c8220_13: pred=21.116203s actual=2.534943s q_error=8.3301
job_full_c8220_14: pred=25.501608s actual=2.584857s q_error=9.8658
job_full_c8220_15: pred=9.015557s actual=7.575187s q_error=1.1901
job_full_c8220_16: pred=9.808539s actual=10.688525s q_error=1.0897
job_full_c8220_17: pred=10.040690s actual=10.063763s q_error=1.0023
job_full_c8220_18: pred=7.383209s actual=10.034635s q_error=1.3591
job_full_c8220_19: pred=6.191406s actual=7.319890s q_error=1.1823
job_full_c8220_20: pred=6.191406s actual=6.962943s q_error=1.1246
job_full_c8220_21: pred=6.191406s actual=7.088226s q_error=1.1448
job_full_c8220_22: pred=7.920361s actual=11.161621s q_error=1.4092
job_full_c8220_23: pred=8.184132s actual=14.394615s q_error=1.7588
job_full_c8220_24: pred=4.345898s actual=4.925298s q_error=1.1333
job_full_c8220_25: pred=7.202177s actual=18.671276s q_error=2.5924
job_full_c8220_26: pred=7.088658s actual=5.849403s q_error=1.2119
job_full_c8220_27: pred=8.533294s actual=27.473789s q_error=3.2196
job_full_c8220_28: pred=1.015333s actual=0.457662s q_error=2.2185
job_full_c8220_29: pred=1.338881s actual=0.586060s q_error=2.2845
job_full_c8220_30: pred=0.964972s actual=0.366206s q_error=2.6351
job_full_c8220_31: pred=1.337479s actual=0.586076s q_error=2.2821
job_full_c8220_32: pred=5.183811s actual=6.212200s q_error=1.1984
job_full_c8220_33: pred=6.445581s actual=6.149403s q_error=1.0482
job_full_c8220_34: pred=2.889867s actual=4.653701s q_error=1.6104
job_full_c8220_35: pred=4.552763s actual=5.380522s q_error=1.1818
job_full_c8220_36: pred=9.228009s actual=6.041000s q_error=1.5276
job_full_c8220_37: pred=10.040324s actual=18.410433s q_error=1.8336
job_full_c8220_38: pred=11.195032s actual=6.179959s q_error=1.8115
job_full_c8220_39: pred=3.240531s actual=2.329659s q_error=1.3910
job_full_c8220_40: pred=11.323704s actual=2.249410s q_error=5.0341
job_full_c8220_41: pred=10.661515s actual=4.352833s q_error=2.4493
job_full_c8220_42: pred=15.730456s actual=10.200384s q_error=1.5421
job_full_c8220_43: pred=14.159806s actual=21.095999s q_error=1.4899
job_full_c8220_44: pred=1.410365s actual=0.740530s q_error=1.9045
job_full_c8220_45: pred=1.318271s actual=0.686113s q_error=1.9214
job_full_c8220_46: pred=1.279832s actual=0.630046s q_error=2.0313
job_full_c8220_47: pred=1.768505s actual=1.803751s q_error=1.0199
job_full_c8220_48: pred=7.803245s actual=4.654181s q_error=1.6766
job_full_c8220_49: pred=0.815001s actual=0.387396s q_error=2.1038
job_full_c8220_50: pred=0.815001s actual=0.423591s q_error=1.9240
job_full_c8220_51: pred=4.808139s actual=1.709420s q_error=2.8127
job_full_c8220_52: pred=3.465676s actual=1.425871s q_error=2.4306
job_full_c8220_53: pred=4.138631s actual=1.736582s q_error=2.3832
job_full_c8220_54: pred=1.235035s actual=2.291976s q_error=1.8558
job_full_c8220_55: pred=1.667220s actual=0.967681s q_error=1.7229
job_full_c8220_56: pred=2.215214s actual=3.169967s q_error=1.4310
job_full_c8220_57: pred=1.525838s actual=0.783393s q_error=1.9477
job_full_c8220_58: pred=1.130895s actual=0.465611s q_error=2.4288
job_full_c8220_59: pred=1.698796s actual=0.729034s q_error=2.3302
job_full_c8220_60: pred=1.793935s actual=0.226457s q_error=7.9217
job_full_c8220_61: pred=2.145306s actual=1.621557s q_error=1.3230
job_full_c8220_62: pred=8.817397s actual=3.338705s q_error=2.6410
job_full_c8220_63: pred=4.541076s actual=4.024674s q_error=1.1283
job_full_c8220_64: pred=4.440841s actual=4.697874s q_error=1.0579
job_full_c8220_65: pred=4.541076s actual=4.003509s q_error=1.1343
job_full_c8220_66: pred=15.683785s actual=4.430098s q_error=3.5403
job_full_c8220_67: pred=4.541076s actual=4.111290s q_error=1.1045
job_full_c8220_68: pred=5.194456s actual=8.652514s q_error=1.6657
job_full_c8220_69: pred=4.931535s actual=5.683184s q_error=1.1524
job_full_c8220_70: pred=4.115953s actual=2.103513s q_error=1.9567
job_full_c8220_71: pred=3.455428s actual=2.001956s q_error=1.7260
job_full_c8220_72: pred=13.432122s actual=24.881011s q_error=1.8524
job_full_c8220_73: pred=5.875687s actual=3.466540s q_error=1.6950
job_full_c8220_74: pred=5.733924s actual=19.992886s q_error=3.4868
job_full_c8220_75: pred=6.566070s actual=3.527708s q_error=1.8613
job_full_c8220_76: pred=4.495931s actual=7.215452s q_error=1.6049

Test set (job_full, 77 queries): q-error avg=2.1951 p50=1.7229 p75=2.3373 p90=3.6918 min=1.0023 max=9.8658
