job_full_c8220_0: pred=10.338368s actual=2.928099s q_error=3.5307
job_full_c8220_1: pred=1.305254s actual=2.302204s q_error=1.7638
job_full_c8220_2: pred=13.205246s actual=20.287203s q_error=1.5363
job_full_c8220_3: pred=1.608167s actual=1.547206s q_error=1.0394
job_full_c8220_4: pred=33.660932s actual=10.563031s q_error=3.1867
job_full_c8220_5: pred=1.061602s actual=0.978475s q_error=1.0850
job_full_c8220_6: pred=2.102879s actual=2.208533s q_error=1.0502
job_full_c8220_7: pred=6.899356s actual=2.501070s q_error=2.7586
job_full_c8220_8: pred=3.338967s actual=3.990029s q_error=1.1950
job_full_c8220_9: pred=25.645908s actual=21.196683s q_error=1.2099
job_full_c8220_10: pred=10.061301s actual=8.075350s q_error=1.2459
job_full_c8220_11: pred=24.363372s actual=26.857184s q_error=1.1024
job_full_c8220_12: pred=21.556624s actual=22.140122s q_error=1.0271
job_full_c8220_13: pred=2.106336s actual=2.534943s q_error=1.2035
job_full_c8220_14: pred=2.216898s actual=2.584857s q_error=1.1660
job_full_c8220_15: pred=4.160652s actual=7.575187s q_error=1.8207
job_full_c8220_16: pred=7.471311s actual=10.688525s q_error=1.4306
job_full_c8220_17: pred=7.057060s actual=10.063763s q_error=1.4261
job_full_c8220_18: pred=10.747022s actual=10.034635s q_error=1.0710
job_full_c8220_19: pred=9.881344s actual=7.319890s q_error=1.3499
job_full_c8220_20: pred=9.812334s actual=6.962943s q_error=1.4092
job_full_c8220_21: pred=10.447677s actual=7.088226s q_error=1.4739
job_full_c8220_22: pred=11.083742s actual=11.161621s q_error=1.0070
job_full_c8220_23: pred=19.329907s actual=14.394615s q_error=1.3429
job_full_c8220_24: pred=11.827335s actual=4.925298s q_error=2.4013
job_full_c8220_25: pred=37.811016s actual=18.671276s q_error=2.0251
job_full_c8220_26: pred=4.370522s actual=5.849403s q_error=1.3384
job_full_c8220_27: pred=25.648534s actual=27.473789s q_error=1.0712
job_full_c8220_28: pred=0.988961s actual=0.457662s q_error=2.1609
job_full_c8220_29: pred=1.338855s actual=0.586060s q_error=2.2845
job_full_c8220_30: pred=0.733126s actual=0.366206s q_error=2.0020
job_full_c8220_31: pred=1.354965s actual=0.586076s q_error=2.3119
job_full_c8220_32: pred=15.519360s actual=6.212200s q_error=2.4982
job_full_c8220_33: pred=11.407220s actual=6.149403s q_error=1.8550
job_full_c8220_34: pred=9.237229s actual=4.653701s q_error=1.9849
job_full_c8220_35: pred=10.820243s actual=5.380522s q_error=2.0110
job_full_c8220_36: pred=11.600980s actual=6.041000s q_error=1.9204
job_full_c8220_37: pred=50.413028s actual=18.410433s q_error=2.7383
job_full_c8220_38: pred=12.632899s actual=6.179959s q_error=2.0442
job_full_c8220_39: pred=2.599206s actual=2.329659s q_error=1.1157
job_full_c8220_40: pred=2.642684s actual=2.249410s q_error=1.1748
job_full_c8220_41: pred=6.651215s actual=4.352833s q_error=1.5280
job_full_c8220_42: pred=21.768761s actual=10.200384s q_error=2.1341
job_full_c8220_43: pred=75.061841s actual=21.095999s q_error=3.5581
job_full_c8220_44: pred=1.297468s actual=0.740530s q_error=1.7521
job_full_c8220_45: pred=1.341089s actual=0.686113s q_error=1.9546
job_full_c8220_46: pred=1.186585s actual=0.630046s q_error=1.8833
job_full_c8220_47: pred=1.693884s actual=1.803751s q_error=1.0649
job_full_c8220_48: pred=6.740414s actual=4.654181s q_error=1.4482
job_full_c8220_49: pred=0.724349s actual=0.387396s q_error=1.8698
job_full_c8220_50: pred=1.047181s actual=0.423591s q_error=2.4722
job_full_c8220_51: pred=1.995957s actual=1.709420s q_error=1.1676
job_full_c8220_52: pred=0.328847s actual=1.425871s q_error=4.3360
job_full_c8220_53: pred=1.995662s actual=1.736582s q_error=1.1492
job_full_c8220_54: pred=2.996200s actual=2.291976s q_error=1.3073
job_full_c8220_55: pred=1.488845s actual=0.967681s q_error=1.5386
job_full_c8220_56: pred=5.883034s actual=3.169967s q_error=1.8559
job_full_c8220_57: pred=1.207731s actual=0.783393s q_error=1.5417
job_full_c8220_58: pred=0.955504s actual=0.465611s q_error=2.0522
job_full_c8220_59: pred=1.183077s actual=0.729034s q_error=1.6228
job_full_c8220_60: pred=0.118364s actual=0.226457s q_error=1.9132
job_full_c8220_61: pred=3.095282s actual=1.621557s q_error=1.9088
job_full_c8220_62: pred=2.167563s actual=3.338705s q_error=1.5403
job_full_c8220_63: pred=8.486142s actual=4.024674s q_error=2.1085
job_full_c8220_64: pred=7.785972s actual=4.697874s q_error=1.6573
job_full_c8220_65: pred=8.268963s actual=4.003509s q_error=2.0654
job_full_c8220_66: pred=12.683738s actual=4.430098s q_error=2.8631
job_full_c8220_67: pred=8.524732s actual=4.111290s q_error=2.0735
job_full_c8220_68: pred=13.984318s actual=8.652514s q_error=1.6162
job_full_c8220_69: pred=12.291748s actual=5.683184s q_error=2.1628
job_full_c8220_70: pred=1.802145s actual=2.103513s q_error=1.1672
job_full_c8220_71: pred=2.488227s actual=2.001956s q_error=1.2429
job_full_c8220_72: pred=24.157013s actual=24.881011s q_error=1.0300
job_full_c8220_73: pred=2.216492s actual=3.466540s q_error=1.5640
job_full_c8220_74: pred=18.768904s actual=19.992886s q_error=1.0652
job_full_c8220_75: pred=2.056631s actual=3.527708s q_error=1.7153
job_full_c8220_76: pred=5.202972s actual=7.215452s q_error=1.3868

Test set (job_full, 77 queries): q-error avg=1.7492 p50=1.6162 p75=2.0442 p90=2.4826 min=1.0070 max=4.3360
