job_full_c8220_0: pred=1.137526s actual=2.928099s q_error=2.5741
job_full_c8220_1: pred=2.373765s actual=2.302204s q_error=1.0311
job_full_c8220_2: pred=9.458194s actual=20.287203s q_error=2.1449
job_full_c8220_3: pred=1.574267s actual=1.547206s q_error=1.0175
job_full_c8220_4: pred=2.100788s actual=10.563031s q_error=5.0281
job_full_c8220_5: pred=2.270469s actual=0.978475s q_error=2.3204
job_full_c8220_6: pred=2.771349s actual=2.208533s q_error=1.2548
job_full_c8220_7: pred=1.607391s actual=2.501070s q_error=1.5560
job_full_c8220_8: pred=3.803414s actual=3.990029s q_error=1.0491
job_full_c8220_9: pred=20.062420s actual=21.196683s q_error=1.0565
job_full_c8220_10: pred=2.305486s actual=8.075350s q_error=3.5027
job_full_c8220_11: pred=3.539666s actual=26.857184s q_error=7.5875
job_full_c8220_12: pred=3.698599s actual=22.140122s q_error=5.9861
job_full_c8220_13: pred=3.297691s actual=2.534943s q_error=1.3009
job_full_c8220_14: pred=3.445995s actual=2.584857s q_error=1.3331
job_full_c8220_15: pred=7.464704s actual=7.575187s q_error=1.0148
job_full_c8220_16: pred=10.083319s actual=10.688525s q_error=1.0600
job_full_c8220_17: pred=10.555321s actual=10.063763s q_error=1.0488
job_full_c8220_18: pred=10.049461s actual=10.034635s q_error=1.0015
job_full_c8220_19: pred=7.835790s actual=7.319890s q_error=1.0705
job_full_c8220_20: pred=6.661678s actual=6.962943s q_error=1.0452
job_full_c8220_21: pred=7.414760s actual=7.088226s q_error=1.0461
job_full_c8220_22: pred=10.500148s actual=11.161621s q_error=1.0630
job_full_c8220_23: pred=4.213482s actual=14.394615s q_error=3.4163
job_full_c8220_24: pred=1.605623s actual=4.925298s q_error=3.0675
job_full_c8220_25: pred=2.800702s actual=18.671276s q_error=6.6666
job_full_c8220_26: pred=4.097775s actual=5.849403s q_error=1.4275
job_full_c8220_27: pred=14.554985s actual=27.473789s q_error=1.8876
job_full_c8220_28: pred=0.919433s actual=0.457662s q_error=2.0090
job_full_c8220_29: pred=0.809782s actual=0.586060s q_error=1.3817
job_full_c8220_30: pred=0.963610s actual=0.366206s q_error=2.6313
job_full_c8220_31: pred=0.809782s actual=0.586076s q_error=1.3817
job_full_c8220_32: pred=7.547051s actual=6.212200s q_error=1.2149
job_full_c8220_33: pred=5.793692s actual=6.149403s q_error=1.0614
job_full_c8220_34: pred=2.475607s actual=4.653701s q_error=1.8798
job_full_c8220_35: pred=3.448746s actual=5.380522s q_error=1.5601
job_full_c8220_36: pred=8.117991s actual=6.041000s q_error=1.3438
job_full_c8220_37: pred=6.164786s actual=18.410433s q_error=2.9864
job_full_c8220_38: pred=7.249930s actual=6.179959s q_error=1.1731
job_full_c8220_39: pred=2.863964s actual=2.329659s q_error=1.2293
job_full_c8220_40: pred=3.147534s actual=2.249410s q_error=1.3993
job_full_c8220_41: pred=6.416556s actual=4.352833s q_error=1.4741
job_full_c8220_42: pred=9.939232s actual=10.200384s q_error=1.0263
job_full_c8220_43: pred=11.059301s actual=21.095999s q_error=1.9075
job_full_c8220_44: pred=1.870238s actual=0.740530s q_error=2.5255
job_full_c8220_45: pred=1.154320s actual=0.686113s q_error=1.6824
job_full_c8220_46: pred=0.757046s actual=0.630046s q_error=1.2016
job_full_c8220_47: pred=2.378941s actual=1.803751s q_error=1.3189
job_full_c8220_48: pred=4.520084s actual=4.654181s q_error=1.0297
job_full_c8220_49: pred=0.950667s actual=0.387396s q_error=2.4540
job_full_c8220_50: pred=0.915572s actual=0.423591s q_error=2.1615
job_full_c8220_51: pred=7.422223s actual=1.709420s q_error=4.3420
job_full_c8220_52: pred=3.052605s actual=1.425871s q_error=2.1409
job_full_c8220_53: pred=4.710638s actual=1.736582s q_error=2.7126
job_full_c8220_54: pred=1.599135s actual=2.291976s q_error=1.4333
job_full_c8220_55: pred=1.937556s actual=0.967681s q_error=2.0023
job_full_c8220_56: pred=1.853034s actual=3.169967s q_error=1.7107
job_full_c8220_57: pred=1.753289s actual=0.783393s q_error=2.2381
job_full_c8220_58: pred=1.477092s actual=0.465611s q_error=3.1724
job_full_c8220_59: pred=1.855267s actual=0.729034s q_error=2.5448
job_full_c8220_60: pred=1.584109s actual=0.226457s q_error=6.9952
job_full_c8220_61: pred=0.949733s actual=1.621557s q_error=1.7074
job_full_c8220_62: pred=2.641216s actual=3.338705s q_error=1.2641
job_full_c8220_63: pred=4.322826s actual=4.024674s q_error=1.0741
job_full_c8220_64: pred=4.576482s actual=4.697874s q_error=1.0265
job_full_c8220_65: pred=4.323533s actual=4.003509s q_error=1.0799
job_full_c8220_66: pred=1.933182s actual=4.430098s q_error=2.2916
job_full_c8220_67: pred=4.322826s actual=4.111290s q_error=1.0515
job_full_c8220_68: pred=8.948737s actual=8.652514s q_error=1.0342
job_full_c8220_69: pred=5.942966s actual=5.683184s q_error=1.0457
job_full_c8220_70: pred=1.408923s actual=2.103513s q_error=1.4930
job_full_c8220_71: pred=0.938298s actual=2.001956s q_error=2.1336
job_full_c8220_72: pred=10.013425s actual=24.881011s q_error=2.4848
job_full_c8220_73: pred=2.140457s actual=3.466540s q_error=1.6195
job_full_c8220_74: pred=3.481246s actual=19.992886s q_error=5.7430
job_full_c8220_75: pred=2.694939s actual=3.527708s q_error=1.3090
job_full_c8220_76: pred=6.503835s actual=7.215452s q_error=1.1094

Test set (job_full, 77 queries): q-error avg=2.0565 p50=1.4741 p75=2.3204 p90=3.4509 min=1.0015 max=7.5875
