job_full_c8220_0: pred=1.564820s actual=2.928099s q_error=1.8712
job_full_c8220_1: pred=2.546176s actual=2.302204s q_error=1.1060
job_full_c8220_2: pred=9.615322s actual=20.287203s q_error=2.1099
job_full_c8220_3: pred=1.867576s actual=1.547206s q_error=1.2071
job_full_c8220_4: pred=12.014858s actual=10.563031s q_error=1.1374
job_full_c8220_5: pred=2.591646s actual=0.978475s q_error=2.6487
job_full_c8220_6: pred=2.780586s actual=2.208533s q_error=1.2590
job_full_c8220_7: pred=2.191207s actual=2.501070s q_error=1.1414
job_full_c8220_8: pred=6.040298s actual=3.990029s q_error=1.5138
job_full_c8220_9: pred=18.924921s actual=21.196683s q_error=1.1200
job_full_c8220_10: pred=3.739687s actual=8.075350s q_error=2.1594
job_full_c8220_11: pred=2.858167s actual=26.857184s q_error=9.3966
job_full_c8220_12: pred=3.236509s actual=22.140122s q_error=6.8407
job_full_c8220_13: pred=3.543145s actual=2.534943s q_error=1.3977
job_full_c8220_14: pred=3.432587s actual=2.584857s q_error=1.3280
job_full_c8220_15: pred=7.171309s actual=7.575187s q_error=1.0563
job_full_c8220_16: pred=8.362234s actual=10.688525s q_error=1.2782
job_full_c8220_17: pred=8.199704s actual=10.063763s q_error=1.2273
job_full_c8220_18: pred=7.936009s actual=10.034635s q_error=1.2644
job_full_c8220_19: pred=6.538233s actual=7.319890s q_error=1.1196
job_full_c8220_20: pred=6.801081s actual=6.962943s q_error=1.0238
job_full_c8220_21: pred=6.567007s actual=7.088226s q_error=1.0794
job_full_c8220_22: pred=9.493259s actual=11.161621s q_error=1.1757
job_full_c8220_23: pred=3.219488s actual=14.394615s q_error=4.4711
job_full_c8220_24: pred=3.010820s actual=4.925298s q_error=1.6359
job_full_c8220_25: pred=3.150608s actual=18.671276s q_error=5.9262
job_full_c8220_26: pred=3.975071s actual=5.849403s q_error=1.4715
job_full_c8220_27: pred=13.197683s actual=27.473789s q_error=2.0817
job_full_c8220_28: pred=1.040049s actual=0.457662s q_error=2.2725
job_full_c8220_29: pred=1.279581s actual=0.586060s q_error=2.1834
job_full_c8220_30: pred=1.119354s actual=0.366206s q_error=3.0566
job_full_c8220_31: pred=1.274047s actual=0.586076s q_error=2.1739
job_full_c8220_32: pred=7.514777s actual=6.212200s q_error=1.2097
job_full_c8220_33: pred=5.998203s actual=6.149403s q_error=1.0252
job_full_c8220_34: pred=2.657469s actual=4.653701s q_error=1.7512
job_full_c8220_35: pred=3.930916s actual=5.380522s q_error=1.3688
job_full_c8220_36: pred=7.124595s actual=6.041000s q_error=1.1794
job_full_c8220_37: pred=5.893770s actual=18.410433s q_error=3.1237
job_full_c8220_38: pred=7.647206s actual=6.179959s q_error=1.2374
job_full_c8220_39: pred=3.197212s actual=2.329659s q_error=1.3724
job_full_c8220_40: pred=3.684421s actual=2.249410s q_error=1.6380
job_full_c8220_41: pred=6.694640s actual=4.352833s q_error=1.5380
job_full_c8220_42: pred=8.802167s actual=10.200384s q_error=1.1588
job_full_c8220_43: pred=10.181994s actual=21.095999s q_error=2.0719
job_full_c8220_44: pred=2.011692s actual=0.740530s q_error=2.7166
job_full_c8220_45: pred=1.483652s actual=0.686113s q_error=2.1624
job_full_c8220_46: pred=1.225450s actual=0.630046s q_error=1.9450
job_full_c8220_47: pred=2.245908s actual=1.803751s q_error=1.2451
job_full_c8220_48: pred=4.996549s actual=4.654181s q_error=1.0736
job_full_c8220_49: pred=1.121426s actual=0.387396s q_error=2.8948
job_full_c8220_50: pred=1.102500s actual=0.423591s q_error=2.6027
job_full_c8220_51: pred=7.010576s actual=1.709420s q_error=4.1011
job_full_c8220_52: pred=3.485825s actual=1.425871s q_error=2.4447
job_full_c8220_53: pred=4.994327s actual=1.736582s q_error=2.8760
job_full_c8220_54: pred=1.828738s actual=2.291976s q_error=1.2533
job_full_c8220_55: pred=2.066102s actual=0.967681s q_error=2.1351
job_full_c8220_56: pred=1.889134s actual=3.169967s q_error=1.6780
job_full_c8220_57: pred=1.876454s actual=0.783393s q_error=2.3953
job_full_c8220_58: pred=1.419845s actual=0.465611s q_error=3.0494
job_full_c8220_59: pred=1.806860s actual=0.729034s q_error=2.4784
job_full_c8220_60: pred=1.662192s actual=0.226457s q_error=7.3400
job_full_c8220_61: pred=1.259254s actual=1.621557s q_error=1.2877
job_full_c8220_62: pred=4.111347s actual=3.338705s q_error=1.2314
job_full_c8220_63: pred=5.117819s actual=4.024674s q_error=1.2716
job_full_c8220_64: pred=6.491866s actual=4.697874s q_error=1.3819
job_full_c8220_65: pred=5.117819s actual=4.003509s q_error=1.2783
job_full_c8220_66: pred=3.318353s actual=4.430098s q_error=1.3350
job_full_c8220_67: pred=5.117819s actual=4.111290s q_error=1.2448
job_full_c8220_68: pred=7.410310s actual=8.652514s q_error=1.1676
job_full_c8220_69: pred=5.613588s actual=5.683184s q_error=1.0124
job_full_c8220_70: pred=1.567387s actual=2.103513s q_error=1.3421
job_full_c8220_71: pred=1.373523s actual=2.001956s q_error=1.4575
job_full_c8220_72: pred=10.128495s actual=24.881011s q_error=2.4565
job_full_c8220_73: pred=2.399442s actual=3.466540s q_error=1.4447
job_full_c8220_74: pred=3.056084s actual=19.992886s q_error=6.5420
job_full_c8220_75: pred=2.438244s actual=3.527708s q_error=1.4468
job_full_c8220_76: pred=6.784569s actual=7.215452s q_error=1.0635

Test set (job_full, 77 queries): q-error avg=2.0879 p50=1.4468 p75=2.2725 p90=3.0835 min=1.0124 max=9.3966
