job_full_c8220_0: pred=1.436347s actual=2.928099s q_error=2.0386
job_full_c8220_1: pred=2.481166s actual=2.302204s q_error=1.0777
job_full_c8220_2: pred=9.618848s actual=20.287203s q_error=2.1091
job_full_c8220_3: pred=2.136772s actual=1.547206s q_error=1.3811
job_full_c8220_4: pred=2.306217s actual=10.563031s q_error=4.5802
job_full_c8220_5: pred=2.552781s actual=0.978475s q_error=2.6089
job_full_c8220_6: pred=3.416263s actual=2.208533s q_error=1.5468
job_full_c8220_7: pred=1.966091s actual=2.501070s q_error=1.2721
job_full_c8220_8: pred=5.402401s actual=3.990029s q_error=1.3540
job_full_c8220_9: pred=18.673392s actual=21.196683s q_error=1.1351
job_full_c8220_10: pred=2.613751s actual=8.075350s q_error=3.0896
job_full_c8220_11: pred=2.992119s actual=26.857184s q_error=8.9760
job_full_c8220_12: pred=3.196384s actual=22.140122s q_error=6.9266
job_full_c8220_13: pred=3.799344s actual=2.534943s q_error=1.4988
job_full_c8220_14: pred=4.101776s actual=2.584857s q_error=1.5868
job_full_c8220_15: pred=6.503121s actual=7.575187s q_error=1.1649
job_full_c8220_16: pred=11.048746s actual=10.688525s q_error=1.0337
job_full_c8220_17: pred=11.742459s actual=10.063763s q_error=1.1668
job_full_c8220_18: pred=10.422570s actual=10.034635s q_error=1.0387
job_full_c8220_19: pred=6.976193s actual=7.319890s q_error=1.0493
job_full_c8220_20: pred=6.268055s actual=6.962943s q_error=1.1109
job_full_c8220_21: pred=5.885708s actual=7.088226s q_error=1.2043
job_full_c8220_22: pred=9.343105s actual=11.161621s q_error=1.1946
job_full_c8220_23: pred=3.392277s actual=14.394615s q_error=4.2433
job_full_c8220_24: pred=3.080520s actual=4.925298s q_error=1.5989
job_full_c8220_25: pred=2.273438s actual=18.671276s q_error=8.2128
job_full_c8220_26: pred=3.402307s actual=5.849403s q_error=1.7192
job_full_c8220_27: pred=16.072448s actual=27.473789s q_error=1.7094
job_full_c8220_28: pred=1.496165s actual=0.457662s q_error=3.2691
job_full_c8220_29: pred=2.192773s actual=0.586060s q_error=3.7415
job_full_c8220_30: pred=1.445316s actual=0.366206s q_error=3.9467
job_full_c8220_31: pred=2.192773s actual=0.586076s q_error=3.7414
job_full_c8220_32: pred=5.298866s actual=6.212200s q_error=1.1724
job_full_c8220_33: pred=6.199223s actual=6.149403s q_error=1.0081
job_full_c8220_34: pred=2.632434s actual=4.653701s q_error=1.7678
job_full_c8220_35: pred=3.142892s actual=5.380522s q_error=1.7120
job_full_c8220_36: pred=4.989438s actual=6.041000s q_error=1.2108
job_full_c8220_37: pred=4.553656s actual=18.410433s q_error=4.0430
job_full_c8220_38: pred=5.605723s actual=6.179959s q_error=1.1024
job_full_c8220_39: pred=3.174278s actual=2.329659s q_error=1.3626
job_full_c8220_40: pred=3.022931s actual=2.249410s q_error=1.3439
job_full_c8220_41: pred=4.605793s actual=4.352833s q_error=1.0581
job_full_c8220_42: pred=7.587182s actual=10.200384s q_error=1.3444
job_full_c8220_43: pred=7.528184s actual=21.095999s q_error=2.8023
job_full_c8220_44: pred=2.234269s actual=0.740530s q_error=3.0171
job_full_c8220_45: pred=1.459283s actual=0.686113s q_error=2.1269
job_full_c8220_46: pred=1.570599s actual=0.630046s q_error=2.4928
job_full_c8220_47: pred=3.074757s actual=1.803751s q_error=1.7046
job_full_c8220_48: pred=3.457865s actual=4.654181s q_error=1.3460
job_full_c8220_49: pred=1.154448s actual=0.387396s q_error=2.9800
job_full_c8220_50: pred=1.059221s actual=0.423591s q_error=2.5006
job_full_c8220_51: pred=4.966256s actual=1.709420s q_error=2.9052
job_full_c8220_52: pred=3.936811s actual=1.425871s q_error=2.7610
job_full_c8220_53: pred=4.753008s actual=1.736582s q_error=2.7370
job_full_c8220_54: pred=1.530926s actual=2.291976s q_error=1.4971
job_full_c8220_55: pred=1.808976s actual=0.967681s q_error=1.8694
job_full_c8220_56: pred=2.028650s actual=3.169967s q_error=1.5626
job_full_c8220_57: pred=2.014026s actual=0.783393s q_error=2.5709
job_full_c8220_58: pred=1.422426s actual=0.465611s q_error=3.0550
job_full_c8220_59: pred=1.947597s actual=0.729034s q_error=2.6715
job_full_c8220_60: pred=1.573276s actual=0.226457s q_error=6.9474
job_full_c8220_61: pred=0.954884s actual=1.621557s q_error=1.6982
job_full_c8220_62: pred=2.624861s actual=3.338705s q_error=1.2720
job_full_c8220_63: pred=4.658623s actual=4.024674s q_error=1.1575
job_full_c8220_64: pred=4.501394s actual=4.697874s q_error=1.0436
job_full_c8220_65: pred=4.679425s actual=4.003509s q_error=1.1688
job_full_c8220_66: pred=3.521003s actual=4.430098s q_error=1.2582
job_full_c8220_67: pred=4.658623s actual=4.111290s q_error=1.1331
job_full_c8220_68: pred=12.444767s actual=8.652514s q_error=1.4383
job_full_c8220_69: pred=4.018743s actual=5.683184s q_error=1.4142
job_full_c8220_70: pred=1.323020s actual=2.103513s q_error=1.5899
job_full_c8220_71: pred=0.999373s actual=2.001956s q_error=2.0032
job_full_c8220_72: pred=12.285445s actual=24.881011s q_error=2.0252
job_full_c8220_73: pred=2.691522s actual=3.466540s q_error=1.2879
job_full_c8220_74: pred=3.340378s actual=19.992886s q_error=5.9852
job_full_c8220_75: pred=2.807463s actual=3.527708s q_error=1.2565
job_full_c8220_76: pred=15.470862s actual=7.215452s q_error=2.1441

Test set (job_full, 77 queries): q-error avg=2.2711 p50=1.5989 p75=2.7370 p90=3.9852 min=1.0081 max=8.9760
