job_full_c8220_0: pred=0.794720s actual=2.928099s q_error=3.6844
job_full_c8220_1: pred=3.018837s actual=2.302204s q_error=1.3113
job_full_c8220_2: pred=12.734853s actual=20.287203s q_error=1.5930
job_full_c8220_3: pred=1.810292s actual=1.547206s q_error=1.1700
job_full_c8220_4: pred=8.274897s actual=10.563031s q_error=1.2765
job_full_c8220_5: pred=1.346635s actual=0.978475s q_error=1.3763
job_full_c8220_6: pred=3.693663s actual=2.208533s q_error=1.6725
job_full_c8220_7: pred=1.913077s actual=2.501070s q_error=1.3074
job_full_c8220_8: pred=5.567844s actual=3.990029s q_error=1.3954
job_full_c8220_9: pred=12.105774s actual=21.196683s q_error=1.7510
job_full_c8220_10: pred=2.197409s actual=8.075350s q_error=3.6749
job_full_c8220_11: pred=2.666350s actual=26.857184s q_error=10.0726
job_full_c8220_12: pred=3.074992s actual=22.140122s q_error=7.2001
job_full_c8220_13: pred=3.326031s actual=2.534943s q_error=1.3121
job_full_c8220_14: pred=3.551343s actual=2.584857s q_error=1.3739
job_full_c8220_15: pred=7.442848s actual=7.575187s q_error=1.0178
job_full_c8220_16: pred=9.277538s actual=10.688525s q_error=1.1521
job_full_c8220_17: pred=8.693617s actual=10.063763s q_error=1.1576
job_full_c8220_18: pred=7.951626s actual=10.034635s q_error=1.2620
job_full_c8220_19: pred=6.226308s actual=7.319890s q_error=1.1756
job_full_c8220_20: pred=6.336803s actual=6.962943s q_error=1.0988
job_full_c8220_21: pred=6.154539s actual=7.088226s q_error=1.1517
job_full_c8220_22: pred=8.806975s actual=11.161621s q_error=1.2674
job_full_c8220_23: pred=37.901720s actual=14.394615s q_error=2.6330
job_full_c8220_24: pred=2.930366s actual=4.925298s q_error=1.6808
job_full_c8220_25: pred=2.987451s actual=18.671276s q_error=6.2499
job_full_c8220_26: pred=3.568394s actual=5.849403s q_error=1.6392
job_full_c8220_27: pred=14.699182s actual=27.473789s q_error=1.8691
job_full_c8220_28: pred=0.854869s actual=0.457662s q_error=1.8679
job_full_c8220_29: pred=2.970242s actual=0.586060s q_error=5.0682
job_full_c8220_30: pred=1.412330s actual=0.366206s q_error=3.8567
job_full_c8220_31: pred=2.970242s actual=0.586076s q_error=5.0680
job_full_c8220_32: pred=4.226530s actual=6.212200s q_error=1.4698
job_full_c8220_33: pred=4.673237s actual=6.149403s q_error=1.3159
job_full_c8220_34: pred=4.586045s actual=4.653701s q_error=1.0148
job_full_c8220_35: pred=2.343264s actual=5.380522s q_error=2.2962
job_full_c8220_36: pred=5.596363s actual=6.041000s q_error=1.0795
job_full_c8220_37: pred=7.231985s actual=18.410433s q_error=2.5457
job_full_c8220_38: pred=8.712256s actual=6.179959s q_error=1.4098
job_full_c8220_39: pred=3.398837s actual=2.329659s q_error=1.4589
job_full_c8220_40: pred=1.922806s actual=2.249410s q_error=1.1699
job_full_c8220_41: pred=5.480093s actual=4.352833s q_error=1.2590
job_full_c8220_42: pred=7.574609s actual=10.200384s q_error=1.3467
job_full_c8220_43: pred=7.604471s actual=21.095999s q_error=2.7742
job_full_c8220_44: pred=0.974181s actual=0.740530s q_error=1.3155
job_full_c8220_45: pred=0.930319s actual=0.686113s q_error=1.3559
job_full_c8220_46: pred=0.659344s actual=0.630046s q_error=1.0465
job_full_c8220_47: pred=1.430847s actual=1.803751s q_error=1.2606
job_full_c8220_48: pred=5.302960s actual=4.654181s q_error=1.1394
job_full_c8220_49: pred=1.044014s actual=0.387396s q_error=2.6950
job_full_c8220_50: pred=0.853400s actual=0.423591s q_error=2.0147
job_full_c8220_51: pred=4.606798s actual=1.709420s q_error=2.6949
job_full_c8220_52: pred=9.159772s actual=1.425871s q_error=6.4240
job_full_c8220_53: pred=3.891230s actual=1.736582s q_error=2.2407
job_full_c8220_54: pred=1.176707s actual=2.291976s q_error=1.9478
job_full_c8220_55: pred=0.816493s actual=0.967681s q_error=1.1852
job_full_c8220_56: pred=3.150931s actual=3.169967s q_error=1.0060
job_full_c8220_57: pred=1.311446s actual=0.783393s q_error=1.6741
job_full_c8220_58: pred=0.540685s actual=0.465611s q_error=1.1612
job_full_c8220_59: pred=1.341776s actual=0.729034s q_error=1.8405
job_full_c8220_60: pred=1.495821s actual=0.226457s q_error=6.6053
job_full_c8220_61: pred=0.398188s actual=1.621557s q_error=4.0723
job_full_c8220_62: pred=1121.965620s actual=3.338705s q_error=336.0481
job_full_c8220_63: pred=6.685961s actual=4.024674s q_error=1.6612
job_full_c8220_64: pred=4.573487s actual=4.697874s q_error=1.0272
job_full_c8220_65: pred=6.686097s actual=4.003509s q_error=1.6701
job_full_c8220_66: pred=3.405560s actual=4.430098s q_error=1.3008
job_full_c8220_67: pred=6.685961s actual=4.111290s q_error=1.6262
job_full_c8220_68: pred=7.787342s actual=8.652514s q_error=1.1111
job_full_c8220_69: pred=5.876756s actual=5.683184s q_error=1.0341
job_full_c8220_70: pred=36.577244s actual=2.103513s q_error=17.3886
job_full_c8220_71: pred=6.881666s actual=2.001956s q_error=3.4375
job_full_c8220_72: pred=29.106318s actual=24.881011s q_error=1.1698
job_full_c8220_73: pred=3.014542s actual=3.466540s q_error=1.1499
job_full_c8220_74: pred=2.850935s actual=19.992886s q_error=7.0127
job_full_c8220_75: pred=2.903686s actual=3.527708s q_error=1.2149
job_full_c8220_76: pred=4.233155s actual=7.215452s q_error=1.7045

Test set (job_full, 77 queries): q-error avg=6.7372 p50=1.4589 p90=5.5409 min=1.0060 max=336.0481
