job_full_c8220_0: pred=1.840762s actual=2.928099s q_error=1.5907
job_full_c8220_1: pred=1.740804s actual=2.302204s q_error=1.3225
job_full_c8220_2: pred=9.783143s actual=20.287203s q_error=2.0737
job_full_c8220_3: pred=0.785978s actual=1.547206s q_error=1.9685
job_full_c8220_4: pred=4.534972s actual=10.563031s q_error=2.3292
job_full_c8220_5: pred=1.059276s actual=0.978475s q_error=1.0826
job_full_c8220_6: pred=3.515441s actual=2.208533s q_error=1.5918
job_full_c8220_7: pred=1.966151s actual=2.501070s q_error=1.2721
job_full_c8220_8: pred=5.275713s actual=3.990029s q_error=1.3222
job_full_c8220_9: pred=36.436070s actual=21.196683s q_error=1.7190
job_full_c8220_10: pred=1.398099s actual=8.075350s q_error=5.7760
job_full_c8220_11: pred=5.434425s actual=26.857184s q_error=4.9420
job_full_c8220_12: pred=5.266439s actual=22.140122s q_error=4.2040
job_full_c8220_13: pred=5.039393s actual=2.534943s q_error=1.9880
job_full_c8220_14: pred=4.818552s actual=2.584857s q_error=1.8641
job_full_c8220_15: pred=9.276415s actual=7.575187s q_error=1.2246
job_full_c8220_16: pred=22.687827s actual=10.688525s q_error=2.1226
job_full_c8220_17: pred=20.565545s actual=10.063763s q_error=2.0435
job_full_c8220_18: pred=18.386648s actual=10.034635s q_error=1.8323
job_full_c8220_19: pred=10.014435s actual=7.319890s q_error=1.3681
job_full_c8220_20: pred=8.844912s actual=6.962943s q_error=1.2703
job_full_c8220_21: pred=8.939739s actual=7.088226s q_error=1.2612
job_full_c8220_22: pred=25.901141s actual=11.161621s q_error=2.3206
job_full_c8220_23: pred=2.420570s actual=14.394615s q_error=5.9468
job_full_c8220_24: pred=3.370550s actual=4.925298s q_error=1.4613
job_full_c8220_25: pred=2.903625s actual=18.671276s q_error=6.4303
job_full_c8220_26: pred=6.252950s actual=5.849403s q_error=1.0690
job_full_c8220_27: pred=37.858630s actual=27.473789s q_error=1.3780
job_full_c8220_28: pred=0.301015s actual=0.457662s q_error=1.5204
job_full_c8220_29: pred=0.854753s actual=0.586060s q_error=1.4585
job_full_c8220_30: pred=0.280358s actual=0.366206s q_error=1.3062
job_full_c8220_31: pred=0.854438s actual=0.586076s q_error=1.4579
job_full_c8220_32: pred=7.920866s actual=6.212200s q_error=1.2751
job_full_c8220_33: pred=4.847064s actual=6.149403s q_error=1.2687
job_full_c8220_34: pred=3.264868s actual=4.653701s q_error=1.4254
job_full_c8220_35: pred=1.512419s actual=5.380522s q_error=3.5576
job_full_c8220_36: pred=6.547282s actual=6.041000s q_error=1.0838
job_full_c8220_37: pred=8.885022s actual=18.410433s q_error=2.0721
job_full_c8220_38: pred=11.715779s actual=6.179959s q_error=1.8958
job_full_c8220_39: pred=2.495862s actual=2.329659s q_error=1.0713
job_full_c8220_40: pred=2.913185s actual=2.249410s q_error=1.2951
job_full_c8220_41: pred=5.893352s actual=4.352833s q_error=1.3539
job_full_c8220_42: pred=8.131087s actual=10.200384s q_error=1.2545
job_full_c8220_43: pred=7.502410s actual=21.095999s q_error=2.8119
job_full_c8220_44: pred=0.706074s actual=0.740530s q_error=1.0488
job_full_c8220_45: pred=0.681548s actual=0.686113s q_error=1.0067
job_full_c8220_46: pred=0.589745s actual=0.630046s q_error=1.0683
job_full_c8220_47: pred=1.949777s actual=1.803751s q_error=1.0810
job_full_c8220_48: pred=5.303989s actual=4.654181s q_error=1.1396
job_full_c8220_49: pred=0.371711s actual=0.387396s q_error=1.0422
job_full_c8220_50: pred=0.428359s actual=0.423591s q_error=1.0113
job_full_c8220_51: pred=2.733806s actual=1.709420s q_error=1.5993
job_full_c8220_52: pred=2.220835s actual=1.425871s q_error=1.5575
job_full_c8220_53: pred=2.857429s actual=1.736582s q_error=1.6454
job_full_c8220_54: pred=1.266941s actual=2.291976s q_error=1.8091
job_full_c8220_55: pred=0.807209s actual=0.967681s q_error=1.1988
job_full_c8220_56: pred=2.957582s actual=3.169967s q_error=1.0718
job_full_c8220_57: pred=0.565697s actual=0.783393s q_error=1.3848
job_full_c8220_58: pred=0.414232s actual=0.465611s q_error=1.1240
job_full_c8220_59: pred=0.710743s actual=0.729034s q_error=1.0257
job_full_c8220_60: pred=1.075543s actual=0.226457s q_error=4.7494
job_full_c8220_61: pred=1.507777s actual=1.621557s q_error=1.0755
job_full_c8220_62: pred=2.351333s actual=3.338705s q_error=1.4199
job_full_c8220_63: pred=5.296966s actual=4.024674s q_error=1.3161
job_full_c8220_64: pred=3.614684s actual=4.697874s q_error=1.2997
job_full_c8220_65: pred=5.296966s actual=4.003509s q_error=1.3231
job_full_c8220_66: pred=3.222287s actual=4.430098s q_error=1.3748
job_full_c8220_67: pred=5.296966s actual=4.111290s q_error=1.2884
job_full_c8220_68: pred=25.378443s actual=8.652514s q_error=2.9331
job_full_c8220_69: pred=4.989381s actual=5.683184s q_error=1.1391
job_full_c8220_70: pred=1.849119s actual=2.103513s q_error=1.1376
job_full_c8220_71: pred=1.656703s actual=2.001956s q_error=1.2084
job_full_c8220_72: pred=17.625218s actual=24.881011s q_error=1.4117
job_full_c8220_73: pred=2.783361s actual=3.466540s q_error=1.2455
job_full_c8220_74: pred=3.448692s actual=19.992886s q_error=5.7972
job_full_c8220_75: pred=3.652294s actual=3.527708s q_error=1.0353
job_full_c8220_76: pred=7.093749s actual=7.215452s q_error=1.0172

Test set (job_full, 77 queries): q-error avg=1.8373 p50=1.3681 p75=1.8641 p90=3.1829 min=1.0067 max=6.4303
