job_full_c8220_0: pred=1.212793s actual=2.928099s q_error=2.4143
job_full_c8220_1: pred=2.566015s actual=2.302204s q_error=1.1146
job_full_c8220_2: pred=9.596409s actual=20.287203s q_error=2.1140
job_full_c8220_3: pred=1.916697s actual=1.547206s q_error=1.2388
job_full_c8220_4: pred=2.151439s actual=10.563031s q_error=4.9098
job_full_c8220_5: pred=2.276759s actual=0.978475s q_error=2.3268
job_full_c8220_6: pred=3.633726s actual=2.208533s q_error=1.6453
job_full_c8220_7: pred=2.148509s actual=2.501070s q_error=1.1641
job_full_c8220_8: pred=5.245626s actual=3.990029s q_error=1.3147
job_full_c8220_9: pred=16.360464s actual=21.196683s q_error=1.2956
job_full_c8220_10: pred=2.037659s actual=8.075350s q_error=3.9631
job_full_c8220_11: pred=2.906530s actual=26.857184s q_error=9.2403
job_full_c8220_12: pred=4.125089s actual=22.140122s q_error=5.3672
job_full_c8220_13: pred=3.905270s actual=2.534943s q_error=1.5406
job_full_c8220_14: pred=3.938849s actual=2.584857s q_error=1.5238
job_full_c8220_15: pred=6.972801s actual=7.575187s q_error=1.0864
job_full_c8220_16: pred=11.163729s actual=10.688525s q_error=1.0445
job_full_c8220_17: pred=11.332317s actual=10.063763s q_error=1.1261
job_full_c8220_18: pred=9.342853s actual=10.034635s q_error=1.0740
job_full_c8220_19: pred=8.939339s actual=7.319890s q_error=1.2212
job_full_c8220_20: pred=7.142093s actual=6.962943s q_error=1.0257
job_full_c8220_21: pred=8.299197s actual=7.088226s q_error=1.1708
job_full_c8220_22: pred=10.279187s actual=11.161621s q_error=1.0858
job_full_c8220_23: pred=4.046142s actual=14.394615s q_error=3.5576
job_full_c8220_24: pred=3.324750s actual=4.925298s q_error=1.4814
job_full_c8220_25: pred=2.349451s actual=18.671276s q_error=7.9471
job_full_c8220_26: pred=3.672877s actual=5.849403s q_error=1.5926
job_full_c8220_27: pred=20.501055s actual=27.473789s q_error=1.3401
job_full_c8220_28: pred=1.325267s actual=0.457662s q_error=2.8957
job_full_c8220_29: pred=1.975835s actual=0.586060s q_error=3.3714
job_full_c8220_30: pred=1.243276s actual=0.366206s q_error=3.3950
job_full_c8220_31: pred=1.975825s actual=0.586076s q_error=3.3713
job_full_c8220_32: pred=5.484202s actual=6.212200s q_error=1.1327
job_full_c8220_33: pred=7.103105s actual=6.149403s q_error=1.1551
job_full_c8220_34: pred=2.290488s actual=4.653701s q_error=2.0318
job_full_c8220_35: pred=2.693186s actual=5.380522s q_error=1.9978
job_full_c8220_36: pred=5.342892s actual=6.041000s q_error=1.1307
job_full_c8220_37: pred=4.036248s actual=18.410433s q_error=4.5613
job_full_c8220_38: pred=5.663871s actual=6.179959s q_error=1.0911
job_full_c8220_39: pred=3.295339s actual=2.329659s q_error=1.4145
job_full_c8220_40: pred=3.169003s actual=2.249410s q_error=1.4088
job_full_c8220_41: pred=4.819372s actual=4.352833s q_error=1.1072
job_full_c8220_42: pred=7.914069s actual=10.200384s q_error=1.2889
job_full_c8220_43: pred=8.180121s actual=21.095999s q_error=2.5789
job_full_c8220_44: pred=2.081969s actual=0.740530s q_error=2.8115
job_full_c8220_45: pred=1.333037s actual=0.686113s q_error=1.9429
job_full_c8220_46: pred=1.564890s actual=0.630046s q_error=2.4838
job_full_c8220_47: pred=3.573090s actual=1.803751s q_error=1.9809
job_full_c8220_48: pred=3.173859s actual=4.654181s q_error=1.4664
job_full_c8220_49: pred=1.090972s actual=0.387396s q_error=2.8162
job_full_c8220_50: pred=1.078116s actual=0.423591s q_error=2.5452
job_full_c8220_51: pred=6.695917s actual=1.709420s q_error=3.9171
job_full_c8220_52: pred=3.748818s actual=1.425871s q_error=2.6291
job_full_c8220_53: pred=4.982876s actual=1.736582s q_error=2.8694
job_full_c8220_54: pred=1.520519s actual=2.291976s q_error=1.5074
job_full_c8220_55: pred=1.683291s actual=0.967681s q_error=1.7395
job_full_c8220_56: pred=2.064512s actual=3.169967s q_error=1.5355
job_full_c8220_57: pred=2.035589s actual=0.783393s q_error=2.5984
job_full_c8220_58: pred=1.312526s actual=0.465611s q_error=2.8189
job_full_c8220_59: pred=2.044830s actual=0.729034s q_error=2.8048
job_full_c8220_60: pred=1.561929s actual=0.226457s q_error=6.8972
job_full_c8220_61: pred=0.819129s actual=1.621557s q_error=1.9796
job_full_c8220_62: pred=2.716438s actual=3.338705s q_error=1.2291
job_full_c8220_63: pred=5.204855s actual=4.024674s q_error=1.2932
job_full_c8220_64: pred=5.418718s actual=4.697874s q_error=1.1534
job_full_c8220_65: pred=5.205435s actual=4.003509s q_error=1.3002
job_full_c8220_66: pred=2.865098s actual=4.430098s q_error=1.5462
job_full_c8220_67: pred=5.204846s actual=4.111290s q_error=1.2660
job_full_c8220_68: pred=11.603887s actual=8.652514s q_error=1.3411
job_full_c8220_69: pred=3.640595s actual=5.683184s q_error=1.5611
job_full_c8220_70: pred=1.668204s actual=2.103513s q_error=1.2609
job_full_c8220_71: pred=1.018467s actual=2.001956s q_error=1.9657
job_full_c8220_72: pred=11.763074s actual=24.881011s q_error=2.1152
job_full_c8220_73: pred=2.959845s actual=3.466540s q_error=1.1712
job_full_c8220_74: pred=3.971332s actual=19.992886s q_error=5.0343
job_full_c8220_75: pred=3.112140s actual=3.527708s q_error=1.1335
job_full_c8220_76: pred=14.671676s actual=7.215452s q_error=2.0334

Test set (job_full, 77 queries): q-error avg=2.2416 p50=1.5611 p75=2.6291 p90=3.9355 min=1.0257 max=9.2403
