job_full_c8220_0: pred=1.643515s actual=2.928099s q_error=1.7816
job_full_c8220_1: pred=2.520845s actual=2.302204s q_error=1.0950
job_full_c8220_2: pred=9.841073s actual=20.287203s q_error=2.0615
job_full_c8220_3: pred=2.010252s actual=1.547206s q_error=1.2993
job_full_c8220_4: pred=4.327126s actual=10.563031s q_error=2.4411
job_full_c8220_5: pred=2.378621s actual=0.978475s q_error=2.4309
job_full_c8220_6: pred=3.079423s actual=2.208533s q_error=1.3943
job_full_c8220_7: pred=2.419249s actual=2.501070s q_error=1.0338
job_full_c8220_8: pred=7.771424s actual=3.990029s q_error=1.9477
job_full_c8220_9: pred=20.905802s actual=21.196683s q_error=1.0139
job_full_c8220_10: pred=3.616821s actual=8.075350s q_error=2.2327
job_full_c8220_11: pred=2.795339s actual=26.857184s q_error=9.6078
job_full_c8220_12: pred=2.641594s actual=22.140122s q_error=8.3814
job_full_c8220_13: pred=4.020007s actual=2.534943s q_error=1.5858
job_full_c8220_14: pred=3.728245s actual=2.584857s q_error=1.4423
job_full_c8220_15: pred=8.029908s actual=7.575187s q_error=1.0600
job_full_c8220_16: pred=11.164752s actual=10.688525s q_error=1.0446
job_full_c8220_17: pred=12.088384s actual=10.063763s q_error=1.2012
job_full_c8220_18: pred=9.385244s actual=10.034635s q_error=1.0692
job_full_c8220_19: pred=6.927852s actual=7.319890s q_error=1.0566
job_full_c8220_20: pred=7.807907s actual=6.962943s q_error=1.1214
job_full_c8220_21: pred=6.499168s actual=7.088226s q_error=1.0906
job_full_c8220_22: pred=10.541379s actual=11.161621s q_error=1.0588
job_full_c8220_23: pred=3.597200s actual=14.394615s q_error=4.0016
job_full_c8220_24: pred=3.028702s actual=4.925298s q_error=1.6262
job_full_c8220_25: pred=2.449126s actual=18.671276s q_error=7.6236
job_full_c8220_26: pred=4.199094s actual=5.849403s q_error=1.3930
job_full_c8220_27: pred=24.637505s actual=27.473789s q_error=1.1151
job_full_c8220_28: pred=1.592081s actual=0.457662s q_error=3.4787
job_full_c8220_29: pred=2.173144s actual=0.586060s q_error=3.7081
job_full_c8220_30: pred=1.576576s actual=0.366206s q_error=4.3052
job_full_c8220_31: pred=2.173144s actual=0.586076s q_error=3.7080
job_full_c8220_32: pred=7.315283s actual=6.212200s q_error=1.1776
job_full_c8220_33: pred=9.238998s actual=6.149403s q_error=1.5024
job_full_c8220_34: pred=2.360665s actual=4.653701s q_error=1.9714
job_full_c8220_35: pred=2.862835s actual=5.380522s q_error=1.8794
job_full_c8220_36: pred=5.956841s actual=6.041000s q_error=1.0141
job_full_c8220_37: pred=5.633638s actual=18.410433s q_error=3.2679
job_full_c8220_38: pred=5.607845s actual=6.179959s q_error=1.1020
job_full_c8220_39: pred=3.063075s actual=2.329659s q_error=1.3148
job_full_c8220_40: pred=2.875409s actual=2.249410s q_error=1.2783
job_full_c8220_41: pred=4.690905s actual=4.352833s q_error=1.0777
job_full_c8220_42: pred=7.995756s actual=10.200384s q_error=1.2757
job_full_c8220_43: pred=7.221449s actual=21.095999s q_error=2.9213
job_full_c8220_44: pred=1.996241s actual=0.740530s q_error=2.6957
job_full_c8220_45: pred=1.635948s actual=0.686113s q_error=2.3844
job_full_c8220_46: pred=2.126589s actual=0.630046s q_error=3.3753
job_full_c8220_47: pred=3.078564s actual=1.803751s q_error=1.7068
job_full_c8220_48: pred=3.810830s actual=4.654181s q_error=1.2213
job_full_c8220_49: pred=1.058016s actual=0.387396s q_error=2.7311
job_full_c8220_50: pred=1.067882s actual=0.423591s q_error=2.5210
job_full_c8220_51: pred=4.400223s actual=1.709420s q_error=2.5741
job_full_c8220_52: pred=2.971094s actual=1.425871s q_error=2.0837
job_full_c8220_53: pred=4.501983s actual=1.736582s q_error=2.5924
job_full_c8220_54: pred=1.342931s actual=2.291976s q_error=1.7067
job_full_c8220_55: pred=1.947755s actual=0.967681s q_error=2.0128
job_full_c8220_56: pred=1.928013s actual=3.169967s q_error=1.6442
job_full_c8220_57: pred=2.175094s actual=0.783393s q_error=2.7765
job_full_c8220_58: pred=1.288354s actual=0.465611s q_error=2.7670
job_full_c8220_59: pred=2.027701s actual=0.729034s q_error=2.7814
job_full_c8220_60: pred=1.704783s actual=0.226457s q_error=7.5281
job_full_c8220_61: pred=0.943301s actual=1.621557s q_error=1.7190
job_full_c8220_62: pred=2.786259s actual=3.338705s q_error=1.1983
job_full_c8220_63: pred=5.529664s actual=4.024674s q_error=1.3739
job_full_c8220_64: pred=5.373397s actual=4.697874s q_error=1.1438
job_full_c8220_65: pred=5.533915s actual=4.003509s q_error=1.3823
job_full_c8220_66: pred=3.720388s actual=4.430098s q_error=1.1908
job_full_c8220_67: pred=5.529693s actual=4.111290s q_error=1.3450
job_full_c8220_68: pred=11.398837s actual=8.652514s q_error=1.3174
job_full_c8220_69: pred=5.320887s actual=5.683184s q_error=1.0681
job_full_c8220_70: pred=1.724381s actual=2.103513s q_error=1.2199
job_full_c8220_71: pred=1.206522s actual=2.001956s q_error=1.6593
job_full_c8220_72: pred=11.349491s actual=24.881011s q_error=2.1923
job_full_c8220_73: pred=2.774528s actual=3.466540s q_error=1.2494
job_full_c8220_74: pred=3.096522s actual=19.992886s q_error=6.4566
job_full_c8220_75: pred=2.643327s actual=3.527708s q_error=1.3346
job_full_c8220_76: pred=14.821648s actual=7.215452s q_error=2.0542

Test set (job_full, 77 queries): q-error avg=2.2364 p50=1.6442 p75=2.5741 p90=3.7080 min=1.0139 max=9.6078
