job_full_c8220_0: pred=2.545525s actual=2.928099s q_error=1.1503
job_full_c8220_1: pred=1.658912s actual=2.302204s q_error=1.3878
job_full_c8220_2: pred=5.204304s actual=20.287203s q_error=3.8982
job_full_c8220_3: pred=1.833045s actual=1.547206s q_error=1.1847
job_full_c8220_4: pred=5.393975s actual=10.563031s q_error=1.9583
job_full_c8220_5: pred=3.088397s actual=0.978475s q_error=3.1563
job_full_c8220_6: pred=3.801317s actual=2.208533s q_error=1.7212
job_full_c8220_7: pred=2.958432s actual=2.501070s q_error=1.1829
job_full_c8220_8: pred=6.463736s actual=3.990029s q_error=1.6200
job_full_c8220_9: pred=20.910014s actual=21.196683s q_error=1.0137
job_full_c8220_10: pred=3.028723s actual=8.075350s q_error=2.6663
job_full_c8220_11: pred=2.938123s actual=26.857184s q_error=9.1409
job_full_c8220_12: pred=3.013448s actual=22.140122s q_error=7.3471
job_full_c8220_13: pred=3.249709s actual=2.534943s q_error=1.2820
job_full_c8220_14: pred=3.108176s actual=2.584857s q_error=1.2025
job_full_c8220_15: pred=5.329491s actual=7.575187s q_error=1.4214
job_full_c8220_16: pred=8.250435s actual=10.688525s q_error=1.2955
job_full_c8220_17: pred=7.054213s actual=10.063763s q_error=1.4266
job_full_c8220_18: pred=9.754924s actual=10.034635s q_error=1.0287
job_full_c8220_19: pred=5.500610s actual=7.319890s q_error=1.3307
job_full_c8220_20: pred=5.416783s actual=6.962943s q_error=1.2854
job_full_c8220_21: pred=5.118445s actual=7.088226s q_error=1.3848
job_full_c8220_22: pred=12.704421s actual=11.161621s q_error=1.1382
job_full_c8220_23: pred=2.935045s actual=14.394615s q_error=4.9044
job_full_c8220_24: pred=2.972887s actual=4.925298s q_error=1.6567
job_full_c8220_25: pred=3.380930s actual=18.671276s q_error=5.5225
job_full_c8220_26: pred=4.337459s actual=5.849403s q_error=1.3486
job_full_c8220_27: pred=21.091611s actual=27.473789s q_error=1.3026
job_full_c8220_28: pred=1.225013s actual=0.457662s q_error=2.6767
job_full_c8220_29: pred=1.705412s actual=0.586060s q_error=2.9100
job_full_c8220_30: pred=1.408332s actual=0.366206s q_error=3.8457
job_full_c8220_31: pred=1.610061s actual=0.586076s q_error=2.7472
job_full_c8220_32: pred=6.997069s actual=6.212200s q_error=1.1263
job_full_c8220_33: pred=6.366965s actual=6.149403s q_error=1.0354
job_full_c8220_34: pred=2.575083s actual=4.653701s q_error=1.8072
job_full_c8220_35: pred=3.793974s actual=5.380522s q_error=1.4182
job_full_c8220_36: pred=4.835371s actual=6.041000s q_error=1.2493
job_full_c8220_37: pred=6.411079s actual=18.410433s q_error=2.8717
job_full_c8220_38: pred=6.785317s actual=6.179959s q_error=1.0980
job_full_c8220_39: pred=2.614459s actual=2.329659s q_error=1.1222
job_full_c8220_40: pred=2.714664s actual=2.249410s q_error=1.2068
job_full_c8220_41: pred=4.361152s actual=4.352833s q_error=1.0019
job_full_c8220_42: pred=6.057501s actual=10.200384s q_error=1.6839
job_full_c8220_43: pred=6.273846s actual=21.095999s q_error=3.3625
job_full_c8220_44: pred=1.468271s actual=0.740530s q_error=1.9827
job_full_c8220_45: pred=1.627785s actual=0.686113s q_error=2.3725
job_full_c8220_46: pred=1.190686s actual=0.630046s q_error=1.8898
job_full_c8220_47: pred=2.619821s actual=1.803751s q_error=1.4524
job_full_c8220_48: pred=3.762098s actual=4.654181s q_error=1.2371
job_full_c8220_49: pred=1.449787s actual=0.387396s q_error=3.7424
job_full_c8220_50: pred=1.592711s actual=0.423591s q_error=3.7600
job_full_c8220_51: pred=4.536949s actual=1.709420s q_error=2.6541
job_full_c8220_52: pred=4.100284s actual=1.425871s q_error=2.8756
job_full_c8220_53: pred=5.526940s actual=1.736582s q_error=3.1827
job_full_c8220_54: pred=1.013794s actual=2.291976s q_error=2.2608
job_full_c8220_55: pred=1.458288s actual=0.967681s q_error=1.5070
job_full_c8220_56: pred=1.588982s actual=3.169967s q_error=1.9950
job_full_c8220_57: pred=1.410832s actual=0.783393s q_error=1.8009
job_full_c8220_58: pred=1.329786s actual=0.465611s q_error=2.8560
job_full_c8220_59: pred=1.494454s actual=0.729034s q_error=2.0499
job_full_c8220_60: pred=1.017321s actual=0.226457s q_error=4.4923
job_full_c8220_61: pred=0.810767s actual=1.621557s q_error=2.0000
job_full_c8220_62: pred=2.700320s actual=3.338705s q_error=1.2364
job_full_c8220_63: pred=3.449338s actual=4.024674s q_error=1.1668
job_full_c8220_64: pred=2.968642s actual=4.697874s q_error=1.5825
job_full_c8220_65: pred=3.472526s actual=4.003509s q_error=1.1529
job_full_c8220_66: pred=3.504213s actual=4.430098s q_error=1.2642
job_full_c8220_67: pred=3.449338s actual=4.111290s q_error=1.1919
job_full_c8220_68: pred=5.865468s actual=8.652514s q_error=1.4752
job_full_c8220_69: pred=6.139843s actual=5.683184s q_error=1.0804
job_full_c8220_70: pred=2.553921s actual=2.103513s q_error=1.2141
job_full_c8220_71: pred=2.829445s actual=2.001956s q_error=1.4133
job_full_c8220_72: pred=7.654221s actual=24.881011s q_error=3.2506
job_full_c8220_73: pred=2.700123s actual=3.466540s q_error=1.2838
job_full_c8220_74: pred=2.274272s actual=19.992886s q_error=8.7909
job_full_c8220_75: pred=2.369607s actual=3.527708s q_error=1.4887
job_full_c8220_76: pred=3.914237s actual=7.215452s q_error=1.8434

Test set (job_full, 77 queries): q-error avg=2.2035 p50=1.5070 p75=2.6767 p90=3.7943 min=1.0019 max=9.1409
