model: /Users/namtran/Documents/Studium/TUM Studium Informatik/WiSe 2025:26/BA2/T3/results/models/query-level/act/imdb_full.txt
job_full_c8220_0: pred=1.787174s actual=2.928099s q_error=1.6384
job_full_c8220_1: pred=1.740838s actual=2.302204s q_error=1.3225
job_full_c8220_2: pred=6.983560s actual=20.287203s q_error=2.9050
job_full_c8220_3: pred=0.843382s actual=1.547206s q_error=1.8345
job_full_c8220_4: pred=3.866812s actual=10.563031s q_error=2.7317
job_full_c8220_5: pred=1.090207s actual=0.978475s q_error=1.1142
job_full_c8220_6: pred=3.494156s actual=2.208533s q_error=1.5821
job_full_c8220_7: pred=1.697567s actual=2.501070s q_error=1.4733
job_full_c8220_8: pred=4.951567s actual=3.990029s q_error=1.2410
job_full_c8220_9: pred=27.706742s actual=21.196683s q_error=1.3071
job_full_c8220_10: pred=1.369884s actual=8.075350s q_error=5.8949
job_full_c8220_11: pred=5.375733s actual=26.857184s q_error=4.9960
job_full_c8220_12: pred=5.375733s actual=22.140122s q_error=4.1185
job_full_c8220_13: pred=3.967710s actual=2.534943s q_error=1.5652
job_full_c8220_14: pred=4.192219s actual=2.584857s q_error=1.6218
job_full_c8220_15: pred=7.919773s actual=7.575187s q_error=1.0455
job_full_c8220_16: pred=28.305846s actual=10.688525s q_error=2.6482
job_full_c8220_17: pred=26.055705s actual=10.063763s q_error=2.5891
job_full_c8220_18: pred=30.029283s actual=10.034635s q_error=2.9926
job_full_c8220_19: pred=9.703664s actual=7.319890s q_error=1.3257
job_full_c8220_20: pred=7.792255s actual=6.962943s q_error=1.1191
job_full_c8220_21: pred=8.962571s actual=7.088226s q_error=1.2644
job_full_c8220_22: pred=36.357540s actual=11.161621s q_error=3.2574
job_full_c8220_23: pred=2.513377s actual=14.394615s q_error=5.7272
job_full_c8220_24: pred=3.077292s actual=4.925298s q_error=1.6005
job_full_c8220_25: pred=2.512466s actual=18.671276s q_error=7.4315
job_full_c8220_26: pred=6.173324s actual=5.849403s q_error=1.0554
job_full_c8220_27: pred=36.336298s actual=27.473789s q_error=1.3226
