model: /Users/namtran/Documents/Studium/TUM Studium Informatik/WiSe 2025:26/BA2/T3/results/models/query-level/est/imdb_full.txt
job_full_c8220_0: pred=1.837091s actual=2.928099s q_error=1.5939
job_full_c8220_1: pred=1.742530s actual=2.302204s q_error=1.3212
job_full_c8220_2: pred=13.195475s actual=20.287203s q_error=1.5374
job_full_c8220_3: pred=1.386375s actual=1.547206s q_error=1.1160
job_full_c8220_4: pred=2.681965s actual=10.563031s q_error=3.9385
job_full_c8220_5: pred=2.233576s actual=0.978475s q_error=2.2827
job_full_c8220_6: pred=7.176179s actual=2.208533s q_error=3.2493
job_full_c8220_7: pred=2.532900s actual=2.501070s q_error=1.0127
job_full_c8220_8: pred=3.000879s actual=3.990029s q_error=1.3296
job_full_c8220_9: pred=4.802447s actual=21.196683s q_error=4.4137
job_full_c8220_10: pred=2.589948s actual=8.075350s q_error=3.1180
job_full_c8220_11: pred=9.103608s actual=26.857184s q_error=2.9502
job_full_c8220_12: pred=9.103608s actual=22.140122s q_error=2.4320
job_full_c8220_13: pred=12.781423s actual=2.534943s q_error=5.0421
job_full_c8220_14: pred=11.554733s actual=2.584857s q_error=4.4702
job_full_c8220_15: pred=9.718213s actual=7.575187s q_error=1.2829
job_full_c8220_16: pred=9.392686s actual=10.688525s q_error=1.1380
job_full_c8220_17: pred=9.251547s actual=10.063763s q_error=1.0878
job_full_c8220_18: pred=10.942392s actual=10.034635s q_error=1.0905
job_full_c8220_19: pred=12.751666s actual=7.319890s q_error=1.7421
job_full_c8220_20: pred=12.751666s actual=6.962943s q_error=1.8314
job_full_c8220_21: pred=12.690348s actual=7.088226s q_error=1.7903
job_full_c8220_22: pred=9.949719s actual=11.161621s q_error=1.1218
job_full_c8220_23: pred=9.249457s actual=14.394615s q_error=1.5563
job_full_c8220_24: pred=5.218873s actual=4.925298s q_error=1.0596
job_full_c8220_25: pred=8.466173s actual=18.671276s q_error=2.2054
job_full_c8220_26: pred=10.740954s actual=5.849403s q_error=1.8362
job_full_c8220_27: pred=15.595555s actual=27.473789s q_error=1.7616
job_full_c8220_28: pred=0.493682s actual=0.457662s q_error=1.0787
job_full_c8220_29: pred=1.173802s actual=0.586060s q_error=2.0029
job_full_c8220_30: pred=0.582255s actual=0.366206s q_error=1.5900
job_full_c8220_31: pred=1.173802s actual=0.586076s q_error=2.0028
job_full_c8220_32: pred=4.769507s actual=6.212200s q_error=1.3025
job_full_c8220_33: pred=4.634891s actual=6.149403s q_error=1.3268
job_full_c8220_34: pred=5.219261s actual=4.653701s q_error=1.1215
job_full_c8220_35: pred=2.603991s actual=5.380522s q_error=2.0663
job_full_c8220_36: pred=19.955851s actual=6.041000s q_error=3.3034
job_full_c8220_37: pred=11.372807s actual=18.410433s q_error=1.6188
job_full_c8220_38: pred=15.835336s actual=6.179959s q_error=2.5624
job_full_c8220_39: pred=4.761774s actual=2.329659s q_error=2.0440
job_full_c8220_40: pred=5.108754s actual=2.249410s q_error=2.2712
job_full_c8220_41: pred=11.609460s actual=4.352833s q_error=2.6671
job_full_c8220_42: pred=19.137259s actual=10.200384s q_error=1.8761
job_full_c8220_43: pred=20.708031s actual=21.095999s q_error=1.0187
job_full_c8220_44: pred=0.629829s actual=0.740530s q_error=1.1758
job_full_c8220_45: pred=0.693732s actual=0.686113s q_error=1.0111
job_full_c8220_46: pred=0.694271s actual=0.630046s q_error=1.1019
job_full_c8220_47: pred=1.050134s actual=1.803751s q_error=1.7176
job_full_c8220_48: pred=18.876720s actual=4.654181s q_error=4.0559
job_full_c8220_49: pred=0.973303s actual=0.387396s q_error=2.5124
job_full_c8220_50: pred=0.973303s actual=0.423591s q_error=2.2977
job_full_c8220_51: pred=5.013246s actual=1.709420s q_error=2.9327
job_full_c8220_52: pred=5.574552s actual=1.425871s q_error=3.9096
job_full_c8220_53: pred=5.251343s actual=1.736582s q_error=3.0240
